from,to,value
Anya,Anya,
Iofi,Anya,16.77
Kaela,Anya,4.18
Kobo,Anya,4.18
Moona,Anya,11.23
Ollie,Anya,9.72
Reine,Anya,10.71
Risu,Anya,6.44
Zeta,Anya,10.38
Anya,Iofi,14.13
Kaela,Iofi,3.81
Kobo,Iofi,6.39
Moona,Iofi,16.63
Ollie,Iofi,12.85
Reine,Iofi,8.96
Risu,Iofi,12.17
Zeta,Iofi,10.06
Anya,Kaela,16.49
Iofi,Kaela,17.85
Kobo,Kaela,14.25
Moona,Kaela,22.03
Ollie,Kaela,17.24
Reine,Kaela,16.99
Risu,Kaela,16.58
Zeta,Kaela,15.5
Anya,Kobo,3.08
Iofi,Kobo,5.59
Kaela,Kobo,2.66
Moona,Kobo,6.26
Ollie,Kobo,3.61
Reine,Kobo,2.68
Risu,Kobo,3.35
Zeta,Kobo,4.95
Anya,Moona,9.42
Iofi,Moona,16.56
Kaela,Moona,4.68
Kobo,Moona,7.13
Ollie,Moona,10.34
Reine,Moona,9.23
Risu,Moona,9.61
Zeta,Moona,10.22
Anya,Ollie,11.23
Iofi,Ollie,17.63
Kaela,Ollie,5.05
Kobo,Ollie,5.65
Moona,Ollie,14.25
Reine,Ollie,12.56
Risu,Ollie,9.44
Zeta,Ollie,9.58
Anya,Reine,21.01
Iofi,Reine,20.86
Kaela,Reine,8.44
Kobo,Reine,7.13
Moona,Reine,21.6
Ollie,Reine,21.32
Risu,Reine,12.08
Zeta,Reine,12.78
Anya,Risu,13.22
Iofi,Risu,29.68
Kaela,Risu,8.63
Kobo,Risu,9.34
Moona,Risu,23.54
Ollie,Risu,16.77
Reine,Risu,12.65
Zeta,Risu,13.1
Anya,Zeta,11.78
Iofi,Zeta,13.55
Kaela,Zeta,4.45
Kobo,Zeta,7.62
Moona,Zeta,13.82
Ollie,Zeta,9.4
Reine,Zeta,7.39
Risu,Zeta,7.23
