from,to,value
Rushia,Aqua,15.54
Sana,Aqua,3.99
Shien,Aqua,5.08
Shion,Aqua,34.24
Sora,Aqua,21.73
Subaru,Aqua,14.86
Suisei,Aqua,15.33
Temma,Aqua,6.33
Towa,Aqua,16.41
Watame,Aqua,14.62
Aki,Aruran,6.19
Amelia,Aruran,1.32
Anya,Aruran,3.78
Aqua,Aruran,2.47
Astel,Aruran,25.45
Ayame,Aruran,2.1
AZki,Aruran,4.9
Baelz,Aruran,1.49
Botan,Aruran,2.91
Calli,Aruran,1.32
Choco,Aruran,5.89
Fauna,Aruran,1.42
Flare,Aruran,3.69
Fubuki,Aruran,3.01
Gura,Aruran,0.97
Haato,Aruran,3.09
Ina,Aruran,1.34
Iofi,Aruran,2.94
IRyS,Aruran,1.61
Izuru,Aruran,31.95
Kanata,Aruran,2.79
Kiara,Aruran,1.49
Korone,Aruran,2.34
Kronii,Aruran,1.11
Lamy,Aruran,2.9
Luna,Aruran,3.54
Marine,Aruran,2.54
Matsuri,Aruran,6.17
Mel,Aruran,8.49
Miko,Aruran,2.11
Mio,Aruran,3.9
Miyabi,Aruran,54.03
Moona,Aruran,1.83
Mumei,Aruran,1.2
Nene,Aruran,2.99
Noel,Aruran,2.37
Oga,Aruran,32.64
Okayu,Aruran,2.64
Ollie,Aruran,2.19
Pekora,Aruran,1.55
Polka,Aruran,4.52
Reine,Aruran,2.37
Rikka,Aruran,40
Risu,Aruran,2.53
Roberu,Aruran,23.14
Roboco,Aruran,5.1
Rushia,Aruran,1.98
Sana,Aruran,1.99
Shien,Aruran,30.85
Shion,Aruran,3.14
Sora,Aruran,4.67
Subaru,Aruran,2.8
Suisei,Aruran,2.59
Temma,Aruran,40.01
Towa,Aruran,3.47
Watame,Aruran,2.82
Aki,Astel,2.2
Amelia,Astel,1.08
Anya,Astel,3.1
Aqua,Astel,1.29
Aruran,Astel,20.84
Ayame,Astel,1.28
AZki,Astel,3.11
Baelz,Astel,1.13
Botan,Astel,1.23
Calli,Astel,1.01
Choco,Astel,2.44
Fauna,Astel,0.98
Flare,Astel,1.09
Fubuki,Astel,1.16
Gura,Astel,0.77
Haato,Astel,1.81
Ina,Astel,1.1
Iofi,Astel,2.52
IRyS,Astel,1.4
Izuru,Astel,41.08
Kanata,Astel,0.98
Kiara,Astel,1.11
Korone,Astel,1.1
Kronii,Astel,0.92
Lamy,Astel,0.96
Luna,Astel,1.47
Marine,Astel,0.98
Matsuri,Astel,2.28
Mel,Astel,2.39
Miko,Astel,0.79
Mio,Astel,1
Miyabi,Astel,36.11
Moona,Astel,2.04
Mumei,Astel,0.92
Nene,Astel,1.29
Noel,Astel,0.75
Oga,Astel,19.64
Okayu,Astel,1
Ollie,Astel,2.49
Pekora,Astel,0.83
Polka,Astel,1.5
Reine,Astel,2.21
Rikka,Astel,38.27
Risu,Astel,2.58
Roberu,Astel,13.65
Roboco,Astel,2.7
Rushia,Astel,0.8
Sana,Astel,1.3
Shien,Astel,23.96
Shion,Astel,1.25
Sora,Astel,1.81
Subaru,Astel,0.73
Suisei,Astel,1.3
Temma,Astel,32
Towa,Astel,2.5
Watame,Astel,0.98
Aki,Ayame,10.01
Amelia,Ayame,2.25
Anya,Ayame,6.23
Aqua,Ayame,13.95
Aruran,Ayame,5.35
Astel,Ayame,3.99
AZki,Ayame,14.29
Baelz,Ayame,3.1
Botan,Ayame,10.61
Calli,Ayame,1.95
Choco,Ayame,17.15
