from,to,value
Altare,Altare,
Aruran,Altare,5.33
Astel,Altare,18.17
Axel,Altare,49.85
Dezmond,Altare,42.5
Fuma,Altare,10.73
Gamma,Altare,7.58
Izuru,Altare,8.57
Miyabi,Altare,9.13
Oga,Altare,8.22
Rikka,Altare,15.11
Rio,Altare,24.43
Roberu,Altare,2.6
Shien,Altare,8.79
Temma,Altare,12.11
Uyu,Altare,15.7
Vesper,Altare,32.94
Altare,Aruran,1.71
Astel,Aruran,15.25
Axel,Aruran,2.63
Dezmond,Aruran,1.65
Fuma,Aruran,36.72
Gamma,Aruran,29.12
Izuru,Aruran,32.62
Miyabi,Aruran,46.37
Oga,Aruran,25.05
Rikka,Aruran,35.95
Rio,Aruran,31.3
Roberu,Aruran,16.43
Shien,Aruran,40.83
Temma,Aruran,32.87
Uyu,Aruran,38.57
Vesper,Aruran,1.27
Altare,Astel,5.59
Aruran,Astel,14.63
Axel,Astel,7.76
Dezmond,Astel,5.07
Fuma,Astel,28.53
Gamma,Astel,21.69
Izuru,Astel,45.48
Miyabi,Astel,37.47
Oga,Astel,24.11
Rikka,Astel,38.67
Rio,Astel,32.82
Roberu,Astel,10.58
Shien,Astel,33.33
Temma,Astel,45.33
Uyu,Astel,37.67
Vesper,Astel,3.64
Altare,Axel,29.58
Aruran,Axel,4.88
Astel,Axel,14.97
Dezmond,Axel,32.16
Fuma,Axel,10.17
Gamma,Axel,9.21
Izuru,Axel,8.57
Miyabi,Axel,9.84
Oga,Axel,9.35
Rikka,Axel,12.08
Rio,Axel,19.47
Roberu,Axel,3.15
Shien,Axel,8.53
Temma,Axel,11.59
Uyu,Axel,14.35
Vesper,Axel,21
Altare,Dezmond,43.88
Aruran,Dezmond,5.33
Astel,Dezmond,17.04
Axel,Dezmond,55.95
Fuma,Dezmond,8.76
Gamma,Dezmond,8.47
Izuru,Dezmond,8.57
Miyabi,Dezmond,10.54
Oga,Dezmond,9.35
Rikka,Dezmond,13.9
Rio,Dezmond,20.23
Roberu,Dezmond,3.1
Shien,Dezmond,8.79
Temma,Dezmond,11.76
Uyu,Dezmond,14.35
Vesper,Dezmond,36.21
Altare,Fuma,1.1
Aruran,Fuma,11.74
Astel,Fuma,9.51
Axel,Fuma,1.76
Dezmond,Fuma,0.87
Gamma,Fuma,19.61
Izuru,Fuma,22.62
Miyabi,Fuma,21.55
Oga,Fuma,12.71
Rikka,Fuma,27.19
Rio,Fuma,27.48
Roberu,Fuma,5.69
Shien,Fuma,22.74
Temma,Fuma,18.34
Uyu,Fuma,35.87
Vesper,Fuma,0.47
Altare,Gamma,1.48
Aruran,Gamma,17.71
Astel,Gamma,13.75
Axel,Gamma,3.02
Dezmond,Gamma,1.6
Fuma,Gamma,37.29
Izuru,Gamma,26.67
