from,to,value
Aki,Aki,
Ao,Aki,5.58
Aqua,Aki,3
Ayame,Aki,3
AZki,Aki,6.79
Botan,Aki,6.57
Chloe,Aki,4.67
Choco,Aki,17.21
Flare,Aki,8.58
Fubuki,Aki,4.19
Haato,Aki,9.82
Hajime,Aki,4.13
Iroha,Aki,4.51
Kanade,Aki,3.61
Kanata,Aki,4.73
Korone,Aki,3.49
Koyori,Aki,4.49
Lamy,Aki,3.93
Laplus,Aki,3.48
Lui,Aki,7.96
Luna,Aki,8.38
Marine,Aki,3.77
Matsuri,Aki,10.78
Mel,Aki,17.11
Miko,Aki,4.01
Mio,Aki,6.36
Nene,Aki,7.44
Noel,Aki,6.03
Okayu,Aki,3.12
Pekora,Aki,3.84
Polka,Aki,5.98
Raden,Aki,4.31
Ririka,Aki,6.12
Roboco,Aki,14.67
Sora,Aki,8.32
Subaru,Aki,4.82
Suisei,Aki,3.26
Towa,Aki,5
Watame,Aki,5.72
Aki,Ao,6.23
Aqua,Ao,2.98
Ayame,Ao,2.97
AZki,Ao,5.51
Botan,Ao,5.42
Chloe,Ao,5.74
Choco,Ao,11.65
Flare,Ao,6.06
Fubuki,Ao,4.49
Haato,Ao,8.62
Hajime,Ao,16.69
Iroha,Ao,6.26
Kanade,Ao,10.38
Kanata,Ao,5.71
Korone,Ao,3.8
Koyori,Ao,5.54
Lamy,Ao,4.42
Laplus,Ao,5.63
Lui,Ao,9.5
Luna,Ao,6.06
Marine,Ao,4.2
Matsuri,Ao,6.8
Mel,Ao,8.15
Miko,Ao,4.42
Mio,Ao,5.37
Nene,Ao,7.28
Noel,Ao,6.99
Okayu,Ao,4.88
Pekora,Ao,4
Polka,Ao,7.19
Raden,Ao,9.57
Ririka,Ao,14.38
Roboco,Ao,9.4
Sora,Ao,6.53
Subaru,Ao,6.45
Suisei,Ao,3.79
Towa,Ao,4.51
Watame,Ao,4.77
Aki,Aqua,5.17
Ao,Aqua,4.59
Ayame,Aqua,12.01
AZki,Aqua,6.85
Botan,Aqua,4.49
Chloe,Aqua,10.16
Choco,Aqua,8.67
Flare,Aqua,6.6
Fubuki,Aqua,7.81
Haato,Aqua,8.72
Hajime,Aqua,6.57
Iroha,Aqua,7.28
Kanade,Aqua,9.02
Kanata,Aqua,8.23
Korone,Aqua,5.81
Koyori,Aqua,7.29
