from,to,value
Aki,Aki,
Amelia,Aki,2.36
Anya,Aki,7.64
Aqua,Aki,5.84
Aruran,Aki,4.58
Astel,Aki,2.92
Ayame,Aki,4.95
AZki,Aki,19.69
Baelz,Aki,3.53
Botan,Aki,6.36
Calli,Aki,2.18
Chloe,Aki,2.79
Choco,Aki,13.77
Fauna,Aki,3.47
Flare,Aki,6.71
Fubuki,Aki,2.91
Gura,Aki,1.62
Haato,Aki,7.04
Ina,Aki,2.61
Iofi,Aki,4.42
Iroha,Aki,3.52
IRyS,Aki,3.72
Izuru,Aki,2.09
Kanata,Aki,5.34
Kiara,Aki,3.22
Korone,Aki,6.14
Koyori,Aki,3.66
Kronii,Aki,2.13
Lamy,Aki,5.21
Laplus,Aki,2.49
Lui,Aki,4.39
Luna,Aki,8.89
Marine,Aki,4.46
Matsuri,Aki,9.52
Mel,Aki,18.7
Miko,Aki,5.16
Mio,Aki,9.5
Miyabi,Aki,2.33
Moona,Aki,4.22
Mumei,Aki,2.17
Nene,Aki,6.85
Noel,Aki,7.13
Oga,Aki,5.09
Okayu,Aki,4.92
Ollie,Aki,2.54
Pekora,Aki,2.9
Polka,Aki,8.15
Reine,Aki,3.68
Rikka,Aki,3.27
Risu,Aki,3.34
Roberu,Aki,4.38
Roboco,Aki,17.95
Rushia,Aki,4.66
Sana,Aki,4.37
Shien,Aki,1.85
Shion,Aki,6.38
Sora,Aki,11.17
Subaru,Aki,4.9
Suisei,Aki,5.09
Temma,Aki,3.29
Towa,Aki,7.97
Watame,Aki,6.58
Aki,Amelia,13.59
Anya,Amelia,19.53
Aqua,Amelia,5.68
Aruran,Amelia,6.49
Astel,Amelia,7.89
Ayame,Amelia,5.18
AZki,Amelia,13.67
Baelz,Amelia,32.24
Botan,Amelia,7.68
Calli,Amelia,25.4
Chloe,Amelia,6.24
Choco,Amelia,7.94
Fauna,Amelia,38.88
Flare,Amelia,5.01
Fubuki,Amelia,4.9
Gura,Amelia,28.51
Haato,Amelia,17.75
Ina,Amelia,33.97
Iofi,Amelia,8.98
Iroha,Amelia,5.81
IRyS,Amelia,32.58
Izuru,Amelia,3.48
Kanata,Amelia,4.33
Kiara,Amelia,31.43
Korone,Amelia,7.57
Koyori,Amelia,5.02
Kronii,Amelia,29.04
Lamy,Amelia,3.54
Laplus,Amelia,4.17
Lui,Amelia,7.5
Luna,Amelia,6.72
Marine,Amelia,4.84
Matsuri,Amelia,6.29
Mel,Amelia,12.03
Miko,Amelia,5.14
Mio,Amelia,5.45
Miyabi,Amelia,3.97
Moona,Amelia,12.03
Mumei,Amelia,35.66
Nene,Amelia,8.11
Noel,Amelia,4.84
Oga,Amelia,5.69
Okayu,Amelia,3.8
Ollie,Amelia,19.63
Pekora,Amelia,4.58
Polka,Amelia,8.03
Reine,Amelia,20.76
Rikka,Amelia,6.17
Risu,Amelia,15.17
Roberu,Amelia,4.71
Roboco,Amelia,13.45
Rushia,Amelia,5.34
Sana,Amelia,39.58
Shien,Amelia,3.61
Shion,Amelia,5.58
Sora,Amelia,16.03
Subaru,Amelia,4.16
Suisei,Amelia,6.07
Temma,Amelia,5.31
Towa,Amelia,9.1
Watame,Amelia,6.93
Aki,Anya,7.64
Amelia,Anya,3.4
Aqua,Anya,2.3
Aruran,Anya,5.53
Astel,Anya,4.75
Ayame,Anya,2.02
AZki,Anya,7.19
Baelz,Anya,4.76
Botan,Anya,2.93
Calli,Anya,2.85
Chloe,Anya,1.51
Choco,Anya,6.07
Fauna,Anya,4.7
Flare,Anya,2.73
Fubuki,Anya,1.59
Gura,Anya,2.37
Haato,Anya,4.04
Ina,Anya,3.72
Iofi,Anya,23.33
Iroha,Anya,1.73
IRyS,Anya,5.19
Izuru,Anya,3.05
Kanata,Anya,2.11
Kiara,Anya,3.92
Korone,Anya,2.38
Koyori,Anya,1.8
Kronii,Anya,4.03
Lamy,Anya,2.11
Laplus,Anya,1.32
Lui,Anya,2.5
Luna,Anya,4.36
Marine,Anya,1.7
Matsuri,Anya,3.72
Mel,Anya,6.98
Miko,Anya,1.89
Mio,Anya,2.93
Miyabi,Anya,2.8
Moona,Anya,16.7
Mumei,Anya,3.57
Nene,Anya,3.02
Noel,Anya,2.26
Oga,Anya,5.75
Okayu,Anya,2.01
Ollie,Anya,10.78
Pekora,Anya,1.37
Polka,Anya,3.62
Reine,Anya,16.67
Rikka,Anya,3.27
Risu,Anya,21.54
Roberu,Anya,3.78
Roboco,Anya,6.42
Rushia,Anya,1.99
Sana,Anya,6.98
Shien,Anya,2.38
Shion,Anya,2.55
Sora,Anya,6.5
Subaru,Anya,2.03
Suisei,Anya,2.05
Temma,Anya,4.3
Towa,Anya,3.9
Watame,Anya,2.53
Aki,Aqua,15.51
Amelia,Aqua,2.63
Anya,Aqua,6.1
Aruran,Aqua,6.01
Astel,Aqua,4.95
Ayame,Aqua,16.16
AZki,Aqua,18.53
Baelz,Aqua,4.82
Botan,Aqua,12.97
Calli,Aqua,2.44
Chloe,Aqua,8.29
Choco,Aqua,22.12
Fauna,Aqua,2.83
Flare,Aqua,12.72
Fubuki,Aqua,6.94
Gura,Aqua,2.22
Haato,Aqua,10.27
Ina,Aqua,2.5
Iofi,Aqua,4.29
Iroha,Aqua,9.25
IRyS,Aqua,4.18
Izuru,Aqua,6.1
Kanata,Aqua,13.54
Kiara,Aqua,3
Korone,Aqua,14.46
Koyori,Aqua,10.87
Kronii,Aqua,2.29
Lamy,Aqua,13.24
Laplus,Aqua,8.44
Lui,Aqua,9.18
Luna,Aqua,13.67
Marine,Aqua,12.69
Matsuri,Aqua,18.16
Mel,Aqua,21.39
Miko,Aqua,13.59
Mio,Aqua,19.65
Miyabi,Aqua,4.78
Moona,Aqua,4.87
Mumei,Aqua,3.07
Nene,Aqua,15.96
Noel,Aqua,15.03
Oga,Aqua,7.54
Okayu,Aqua,15.45
Ollie,Aqua,2.8
Pekora,Aqua,8.75
Polka,Aqua,14.05
Reine,Aqua,2.82
Rikka,Aqua,5.52
Risu,Aqua,2.59
Roberu,Aqua,7.54
Roboco,Aqua,15.12
Rushia,Aqua,14.29
Sana,Aqua,3.18
Shien,Aqua,4.23
Shion,Aqua,25.44
Sora,Aqua,12.59
Subaru,Aqua,13.46
Suisei,Aqua,13.79
Temma,Aqua,4.3
Towa,Aqua,17.16
Watame,Aqua,11.26
Aki,Aruran,4.6
Amelia,Aruran,1.14
Anya,Aruran,5.56
Aqua,Aruran,2.27
Astel,Aruran,23.38
Ayame,Aruran,1.8
AZki,Aruran,4.23
Baelz,Aruran,1.58
Botan,Aruran,2.85
Calli,Aruran,0.98
Chloe,Aruran,1.28
Choco,Aruran,4.61
Fauna,Aruran,1.42
Flare,Aruran,2.72
Fubuki,Aruran,1.52
Gura,Aruran,0.78
Haato,Aruran,2.12
Ina,Aruran,1.17
Iofi,Aruran,3.84
Iroha,Aruran,1.79
IRyS,Aruran,1.5
Izuru,Aruran,43.12
Kanata,Aruran,2.24
Kiara,Aruran,1.29
Korone,Aruran,2.32
Koyori,Aruran,1.79
Kronii,Aruran,1.03
Lamy,Aruran,2.34
