from,to,value
Rushia,Aqua,19.68
Sana,Aqua,7.21
Shien,Aqua,7.56
Shion,Aqua,37.13
Sora,Aqua,24.68
Subaru,Aqua,20.2
Suisei,Aqua,22.98
Temma,Aqua,8.95
Towa,Aqua,23.51
Watame,Aqua,20.05
Aki,Aruran,9.78
Amelia,Aruran,2.71
Anya,Aruran,9.03
Aqua,Aruran,4.05
Astel,Aruran,28.48
Ayame,Aruran,3.48
AZki,Aruran,11.06
Baelz,Aruran,3.95
Botan,Aruran,5.49
Calli,Aruran,2.91
Choco,Aruran,9.78
Fauna,Aruran,3.13
Flare,Aruran,5.53
Fubuki,Aruran,4.04
Gura,Aruran,1.53
Haato,Aruran,4.27
Ina,Aruran,3.11
Iofi,Aruran,7.36
IRyS,Aruran,3.47
Izuru,Aruran,41.31
Kanata,Aruran,5.11
Kiara,Aruran,3.44
Korone,Aruran,3.52
Kronii,Aruran,3.09
Lamy,Aruran,4.9
Luna,Aruran,6.88
Marine,Aruran,3.78
Matsuri,Aruran,7.2
Mel,Aruran,8.99
Miko,Aruran,3.44
Mio,Aruran,5.43
Miyabi,Aruran,56.34
Moona,Aruran,4.04
Mumei,Aruran,3.2
Nene,Aruran,5.85
Noel,Aruran,3.52
Oga,Aruran,43.5
Okayu,Aruran,4.35
Ollie,Aruran,4.21
Pekora,Aruran,2.8
Polka,Aruran,6.9
Reine,Aruran,6.46
Rikka,Aruran,50.57
Risu,Aruran,7.73
Roberu,Aruran,33.37
Roboco,Aruran,9.79
Rushia,Aruran,2.83
Sana,Aruran,4.32
Shien,Aruran,42.03
Shion,Aruran,5.1
Sora,Aruran,7.51
Subaru,Aruran,4.42
Suisei,Aruran,4.66
Temma,Aruran,56.7
Towa,Aruran,5.91
Watame,Aruran,4.65
Aki,Astel,8.24
Amelia,Astel,2.91
Anya,Astel,8
Aqua,Astel,3.97
Aruran,Astel,29.74
Ayame,Astel,3.62
AZki,Astel,8.78
Baelz,Astel,3.63
Botan,Astel,4.36
Calli,Astel,2.82
Choco,Astel,14.49
Fauna,Astel,3.15
Flare,Astel,4.03
Fubuki,Astel,3.28
Gura,Astel,1.7
Haato,Astel,3.95
Ina,Astel,3.39
Iofi,Astel,6.24
IRyS,Astel,3.74
Izuru,Astel,45.89
Kanata,Astel,3.78
Kiara,Astel,3.3
Korone,Astel,2.99
Kronii,Astel,3.4
Lamy,Astel,3.67
Luna,Astel,5.41
Marine,Astel,2.9
Matsuri,Astel,8.23
Mel,Astel,7.22
Miko,Astel,2.96
Mio,Astel,4.2
Miyabi,Astel,41.83
Moona,Astel,3.99
Mumei,Astel,3.3
Nene,Astel,4.76
Noel,Astel,2.66
Oga,Astel,28.31
Okayu,Astel,3.07
Ollie,Astel,4.73
Pekora,Astel,2.49
Polka,Astel,4.76
Reine,Astel,6.17
Rikka,Astel,44.49
Risu,Astel,6.11
Roberu,Astel,23.1
Roboco,Astel,13.6
Rushia,Astel,2.26
Sana,Astel,4.18
Shien,Astel,31.19
Shion,Astel,4.57
Sora,Astel,5.89
Subaru,Astel,3.55
Suisei,Astel,4.5
Temma,Astel,49.76
Towa,Astel,7.06
Watame,Astel,3.34
Aki,Ayame,8.74
Amelia,Ayame,2.87
Anya,Ayame,6.09
Aqua,Ayame,11.38
Aruran,Ayame,5.15
Astel,Ayame,5.13
AZki,Ayame,12.18
Baelz,Ayame,4.19
Botan,Ayame,8.27
Calli,Ayame,2.46
Choco,Ayame,11.02
Fauna,Ayame,3.48
Flare,Ayame,8.96
Fubuki,Ayame,8.26
Gura,Ayame,2.21
Haato,Ayame,6.2
Ina,Ayame,3.43
Iofi,Ayame,5.78
IRyS,Ayame,3.98
Izuru,Ayame,4.16
Kanata,Ayame,8.82
Kiara,Ayame,3.24
Korone,Ayame,6.79
Kronii,Ayame,3.35
Lamy,Ayame,9.8
Luna,Ayame,9.32
Marine,Ayame,8.27
Matsuri,Ayame,11.56
Mel,Ayame,11.61
Miko,Ayame,6.3
Mio,Ayame,11.43
Miyabi,Ayame,4.45
Moona,Ayame,3.97
Mumei,Ayame,3.87
Nene,Ayame,9.88
Noel,Ayame,7.42
Oga,Ayame,6.18
Okayu,Ayame,9.14
Ollie,Ayame,3.24
Pekora,Ayame,5.48
Polka,Ayame,9.05
Reine,Ayame,4.52
Rikka,Ayame,4.7
Risu,Ayame,5.36
Roberu,Ayame,4.84
Roboco,Ayame,9.7
Rushia,Ayame,7.9
Sana,Ayame,3.65
Shien,Ayame,4.09
Shion,Ayame,13.63
Sora,Ayame,9.39
Subaru,Ayame,7.24
Suisei,Ayame,10.48
Temma,Ayame,4.04
Towa,Ayame,10.44
Watame,Ayame,8.13
Aki,AZki,11.66
Amelia,AZki,1.85
Anya,AZki,6.3
Aqua,AZki,4.61
Aruran,AZki,5.43
Astel,AZki,4.13
Ayame,AZki,4.04
Baelz,AZki,2.79
Botan,AZki,5.58
Calli,AZki,1.92
Choco,AZki,9.91
Fauna,AZki,2.23
Flare,AZki,5.92
Fubuki,AZki,4.14
Gura,AZki,1.1
Haato,AZki,3.89
Ina,AZki,2.28
Iofi,AZki,6.11
IRyS,AZki,2.96
Izuru,AZki,2.88
Kanata,AZki,4.75
Kiara,AZki,2.87
Korone,AZki,3.38
Kronii,AZki,2.15
Lamy,AZki,5.5
Luna,AZki,7.66
Marine,AZki,3.9
Matsuri,AZki,6.25
Mel,AZki,11.04
Miko,AZki,3.29
Mio,AZki,6.21
Miyabi,AZki,3.68
Moona,AZki,3.04
Mumei,AZki,2.4
Nene,AZki,5.97
Noel,AZki,3.82
Oga,AZki,4.71
Okayu,AZki,4.42
Ollie,AZki,2.44
Pekora,AZki,2.47
Polka,AZki,6.78
Reine,AZki,4.18
Rikka,AZki,4.84
Risu,AZki,5.14
Roberu,AZki,4.21
Roboco,AZki,8.85
Rushia,AZki,2.97
Sana,AZki,3.01
Shien,AZki,2.65
Shion,AZki,5.86
Sora,AZki,13.37
Subaru,AZki,4.07
Suisei,AZki,5.69
Temma,AZki,3.49
Towa,AZki,6.06
Watame,AZki,6.29
Aki,Baelz,23.8
Amelia,Baelz,23.91
Anya,Baelz,30.02
Aqua,Baelz,13.45
Aruran,Baelz,19.5
Astel,Baelz,17.16
Ayame,Baelz,14
AZki,Baelz,28.03
Botan,Baelz,18.04
Calli,Baelz,23.71
Choco,Baelz,20.98
Fauna,Baelz,37.24
Flare,Baelz,14.93
Fubuki,Baelz,14.02
Gura,Baelz,15.03
Haato,Baelz,22.58
Ina,Baelz,28.35
Iofi,Baelz,22.79
IRyS,Baelz,28.23
Izuru,Baelz,9.99
Kanata,Baelz,16.11
Kiara,Baelz,26.85
Korone,Baelz,13.12
Kronii,Baelz,36.96
Lamy,Baelz,14.65
Luna,Baelz,18.64
Marine,Baelz,13.52
Matsuri,Baelz,17.49
Mel,Baelz,25.67
Miko,Baelz,12.45
Mio,Baelz,16.51
Miyabi,Baelz,12.28
Moona,Baelz,14.95
Mumei,Baelz,41.16
Nene,Baelz,19.94
Noel,Baelz,10.5
Oga,Baelz,13.94
Okayu,Baelz,12.87
Ollie,Baelz,21.62
Pekora,Baelz,10.39
Polka,Baelz,21.38
Reine,Baelz,27.42
Rikka,Baelz,15.04
Risu,Baelz,24.53
Roberu,Baelz,14.36
Roboco,Baelz,21.96
Rushia,Baelz,10.28
Sana,Baelz,43.49
Shien,Baelz,11.81
Shion,Baelz,16.11
Sora,Baelz,21.35
Subaru,Baelz,12.92
Suisei,Baelz,15.34
Temma,Baelz,11.7
Towa,Baelz,20.2
Watame,Baelz,14.93
Aki,Botan,29.8
Amelia,Botan,7.5
Anya,Botan,20.25
Aqua,Botan,21.02
Aruran,Botan,17.4
Astel,Botan,13.23
Ayame,Botan,17.7
AZki,Botan,35.98
Baelz,Botan,11.57
Calli,Botan,7.58
Choco,Botan,33.13
Fauna,Botan,8.77
Flare,Botan,30.53
Fubuki,Botan,19.5
Gura,Botan,5.36
Haato,Botan,16.19
Ina,Botan,8.51
Iofi,Botan,16.45
IRyS,Botan,10.56
Izuru,Botan,8.61
Kanata,Botan,27.24
Kiara,Botan,9.31
Korone,Botan,18.65
Kronii,Botan,8.68
Lamy,Botan,33.37
Luna,Botan,27.58
Marine,Botan,22.72
Matsuri,Botan,24.08
Mel,Botan,36.9
Miko,Botan,18.38
Mio,Botan,30.96
Miyabi,Botan,11.39
Moona,Botan,12.8
Mumei,Botan,8.74
Nene,Botan,29.79
Noel,Botan,20.28
Oga,Botan,18.1
Okayu,Botan,23.24
Ollie,Botan,9.85
Pekora,Botan,16.06
Polka,Botan,35.32
Reine,Botan,15.73
Rikka,Botan,11.51
Risu,Botan,17.51
Roberu,Botan,16.43
Roboco,Botan,28.55
Rushia,Botan,16.83
Sana,Botan,10.59
Shien,Botan,9.18
Shion,Botan,25.9
Sora,Botan,28.99
Subaru,Botan,23.92
Suisei,Botan,23.84
Temma,Botan,10.37
Towa,Botan,27.21
Watame,Botan,24.42
Aki,Calli,17.79
Amelia,Calli,22.36
Anya,Calli,19.78
Aqua,Calli,7.61
Aruran,Calli,13.47
Astel,Calli,12.49
Ayame,Calli,7.7
AZki,Calli,18.13
Baelz,Calli,22.22
Botan,Calli,11.08
Choco,Calli,13.66
Fauna,Calli,22.43
Flare,Calli,9.57
Fubuki,Calli,9.16
Gura,Calli,13.47
Haato,Calli,16.9
Ina,Calli,25.83
Iofi,Calli,13.3
IRyS,Calli,23.43
Izuru,Calli,8.9
Kanata,Calli,9.43
Kiara,Calli,27.94
Korone,Calli,9.75
Kronii,Calli,23.18
Lamy,Calli,8.59
Luna,Calli,12.95
Marine,Calli,8.78
Matsuri,Calli,11.3
Mel,Calli,15.13
Miko,Calli,7.91
Mio,Calli,9.25
Miyabi,Calli,10.1
Moona,Calli,9.44
Mumei,Calli,22.7
Nene,Calli,12.17
Noel,Calli,7.17
Oga,Calli,10.86
Okayu,Calli,8.79
Ollie,Calli,16.78
Pekora,Calli,6.37
Polka,Calli,13.07
Reine,Calli,20.55
Rikka,Calli,13.48
Risu,Calli,15.87
Roberu,Calli,11.06
Roboco,Calli,14.64
Rushia,Calli,6.25
Sana,Calli,26.52
Shien,Calli,9.4
Shion,Calli,9.23
Sora,Calli,14.07
