from,to,value
Mio,Flare,19.07
Nene,Flare,20.81
Noel,Flare,19.13
Okayu,Flare,14.3
Pekora,Flare,11.84
Polka,Flare,27.51
Roboco,Flare,18.64
Shion,Flare,15.36
Sora,Flare,20.15
Subaru,Flare,10.13
Suisei,Flare,16.91
Towa,Flare,16.3
Watame,Flare,16.24
Aki,Fubuki,24.46
Aqua,Fubuki,16.4
AZki,Fubuki,25.83
Botan,Fubuki,21.46
Chloe,Fubuki,19.39
Choco,Fubuki,25.3
Flare,Fubuki,21.8
Haato,Fubuki,19.93
Iroha,Fubuki,20.72
Kanata,Fubuki,19.81
Korone,Fubuki,19.53
Koyori,Fubuki,19.73
Lamy,Fubuki,17.91
Laplus,Fubuki,21.77
Lui,Fubuki,17.42
Luna,Fubuki,21.63
Marine,Fubuki,16.96
Matsuri,Fubuki,30.51
Mel,Fubuki,25.63
Miko,Fubuki,17.44
Mio,Fubuki,29.56
Nene,Fubuki,20.14
Noel,Fubuki,17.45
Okayu,Fubuki,23.19
Pekora,Fubuki,17.2
Polka,Fubuki,21.72
Roboco,Fubuki,23.36
Shion,Fubuki,18.8
Sora,Fubuki,20.41
Subaru,Fubuki,14.56
Suisei,Fubuki,21.51
Towa,Fubuki,19.47
Watame,Fubuki,18.03
Aki,Haato,12.51
Aqua,Haato,7.89
AZki,Haato,16.11
Botan,Haato,6.5
Chloe,Haato,8.17
Choco,Haato,17.73
Flare,Haato,6.98
Fubuki,Haato,6.58
Iroha,Haato,6.02
Kanata,Haato,11.5
Korone,Haato,7.02
Koyori,Haato,6.25
Lamy,Haato,9.29
Laplus,Haato,8.91
Lui,Haato,6.41
Luna,Haato,9.39
Marine,Haato,8.1
Matsuri,Haato,10.37
Mel,Haato,16.33
Miko,Haato,6.62
Mio,Haato,9.43
Nene,Haato,11.84
Noel,Haato,8.04
Okayu,Haato,6.44
Pekora,Haato,6.18
Polka,Haato,8.94
Roboco,Haato,11.51
Shion,Haato,9.92
Sora,Haato,10.18
Subaru,Haato,5.37
Suisei,Haato,7.29
Towa,Haato,7.91
Watame,Haato,6.87
Aki,Iroha,17.25
Aqua,Iroha,13.88
AZki,Iroha,20.97
Botan,Iroha,16.88
Chloe,Iroha,22.86
Choco,Iroha,19.13
Flare,Iroha,16.61
Fubuki,Iroha,14.87
Haato,Iroha,13.08
Kanata,Iroha,17.25
Korone,Iroha,9.64
Koyori,Iroha,17.62
Lamy,Iroha,15.88
Laplus,Iroha,18.51
Lui,Iroha,19.46
Luna,Iroha,14.76
Marine,Iroha,12.81
Matsuri,Iroha,16.96
Mel,Iroha,20.85
Miko,Iroha,11.53
Mio,Iroha,17.7
Nene,Iroha,18.78
Noel,Iroha,15.72
Okayu,Iroha,12.48
Pekora,Iroha,10.49
Polka,Iroha,15.61
Roboco,Iroha,17.21
Shion,Iroha,13.96
Sora,Iroha,17.7
Subaru,Iroha,9.63
Suisei,Iroha,14.53
Towa,Iroha,15.23
Watame,Iroha,14.71
Aki,Kanata,1.48
Aqua,Kanata,3.15
AZki,Kanata,2.56
Botan,Kanata,0.9
Chloe,Kanata,1.69
Choco,Kanata,8.62
Flare,Kanata,1.27
Fubuki,Kanata,1.24
Haato,Kanata,2.18
Iroha,Kanata,1.5
Korone,Kanata,0.85
Koyori,Kanata,1.16
Lamy,Kanata,3.04
Laplus,Kanata,1.65
Lui,Kanata,1.01
Luna,Kanata,1.32
Marine,Kanata,1.35
Matsuri,Kanata,1.67
Mel,Kanata,1.68
Miko,Kanata,0.91
Mio,Kanata,1.45
Nene,Kanata,1.18
Noel,Kanata,1.12
Okayu,Kanata,1.43
Pekora,Kanata,0.9
Polka,Kanata,1.15
Roboco,Kanata,1.21
Shion,Kanata,2.12
Sora,Kanata,1.01
Subaru,Kanata,0.93
Suisei,Kanata,1.28
Towa,Kanata,1.46
Watame,Kanata,0.88
Aki,Korone,17.99
Aqua,Korone,16.82
AZki,Korone,16.88
Botan,Korone,16.69
Chloe,Korone,16.81
Choco,Korone,19.55
Flare,Korone,12.98
Fubuki,Korone,18.79
Haato,Korone,20.47
Iroha,Korone,12.92
Kanata,Korone,13.1
Koyori,Korone,14.91
Lamy,Korone,18.24
Laplus,Korone,15.39
Lui,Korone,15.65
Luna,Korone,23.3
Marine,Korone,16.08
Matsuri,Korone,16.84
Mel,Korone,19.1
Miko,Korone,15.41
Mio,Korone,23.5
Nene,Korone,17.43
Noel,Korone,18.35
Okayu,Korone,24.23
Pekora,Korone,15.25
Polka,Korone,17.56
Roboco,Korone,19.74
Shion,Korone,20.4
Sora,Korone,14.2
Subaru,Korone,16.52
Suisei,Korone,13.79
Towa,Korone,14.18
Watame,Korone,14.98
Aki,Koyori,34.63
Aqua,Koyori,26.81
AZki,Koyori,29.16
Botan,Koyori,30.67
Chloe,Koyori,40.5
Choco,Koyori,38.68
Flare,Koyori,31.92
Fubuki,Koyori,34.42
Haato,Koyori,33.07
Iroha,Koyori,42.84
Kanata,Koyori,32.27
Korone,Koyori,27.05
Lamy,Koyori,35.3
Laplus,Koyori,37.48
Lui,Koyori,39.44
Luna,Koyori,34.37
Marine,Koyori,30.2
Matsuri,Koyori,42.04
Mel,Koyori,38.02
Miko,Koyori,31.36
Mio,Koyori,40.96
Nene,Koyori,34.86
Noel,Koyori,34.49
Okayu,Koyori,27.6
Pekora,Koyori,30.1
Polka,Koyori,34.57
Roboco,Koyori,31.03
Shion,Koyori,33.48
Sora,Koyori,29.45
Subaru,Koyori,25.3
Suisei,Koyori,29.19
Towa,Koyori,28.93
Watame,Koyori,27.5
Aki,Lamy,3.08
Aqua,Lamy,4.1
AZki,Lamy,4.6
Botan,Lamy,3.37
