from,to,value
Kiara,Raora,19.46
Kronii,Raora,19.11
Mumei,Raora,15.2
Nerissa,Raora,21.46
Shiori,Raora,19.56
Baelz,Shiori,13.58
Bijou,Shiori,13.79
Calli,Shiori,15.23
Cecilia,Shiori,15.31
Elizabeth,Shiori,16.44
FuwaMoco,Shiori,9.71
Gigi,Shiori,14.85
Gura,Shiori,8.58
IRyS,Shiori,16.97
Ina,Shiori,8.58
Kiara,Shiori,14.66
Kronii,Shiori,18.25
Mumei,Shiori,15.15
Nerissa,Shiori,21.9
Raora,Shiori,13.91
