from,to,value
Aki,Aki,
Aqua,Aki,9.55
Ayame,Aki,9.54
AZki,Aki,24.35
Botan,Aki,13.9
Chloe,Aki,9.86
Choco,Aki,24.72
Flare,Aki,18.46
Fubuki,Aki,10.03
Haato,Aki,14.18
Iroha,Aki,13.93
Korone,Aki,12.59
Koyori,Aki,12.44
Lamy,Aki,14.6
Laplus,Aki,8.96
Lui,Aki,13.8
Luna,Aki,20.81
Marine,Aki,11.9
Matsuri,Aki,14.35
Mel,Aki,21.62
Miko,Aki,10.5
Mio,Aki,13.62
Nene,Aki,14.33
Noel,Aki,10.83
Okayu,Aki,12.69
Pekora,Aki,10.11
Polka,Aki,17.95
Roboco,Aki,24.34
Shion,Aki,14.72
Sora,Aki,18.94
Subaru,Aki,14.04
Suisei,Aki,9.56
Towa,Aki,13.68
Watame,Aki,13.64
Aki,Aqua,11.12
Ayame,Aqua,22.63
AZki,Aqua,17.56
Botan,Aqua,9.94
Chloe,Aqua,10.67
Choco,Aqua,15.43
Flare,Aqua,11.88
Fubuki,Aqua,10.32
Haato,Aqua,9.98
Iroha,Aqua,12.68
Korone,Aqua,10.02
Koyori,Aqua,11.23
Lamy,Aqua,12.62
Laplus,Aqua,11.97
Lui,Aqua,10.39
Luna,Aqua,13.75
Marine,Aqua,11.79
Matsuri,Aqua,14.65
Mel,Aqua,13.72
Miko,Aqua,10.65
Mio,Aqua,11.65
Nene,Aqua,13.65
Noel,Aqua,9.32
Okayu,Aqua,12.24
Pekora,Aqua,10.07
Polka,Aqua,12.76
Roboco,Aqua,15.98
Shion,Aqua,28.21
Sora,Aqua,13.67
Subaru,Aqua,11.63
Suisei,Aqua,13.64
Towa,Aqua,21.35
Watame,Aqua,9.99
Aki,Ayame,2.86
Aqua,Ayame,5.82
AZki,Ayame,5.6
Botan,Ayame,2.69
Chloe,Ayame,2.55
Choco,Ayame,4.31
Flare,Ayame,3.27
Fubuki,Ayame,3.12
Haato,Ayame,2.75
Iroha,Ayame,3.47
Korone,Ayame,2.4
Koyori,Ayame,2.62
Lamy,Ayame,2.93
Laplus,Ayame,2.86
Lui,Ayame,2.54
Luna,Ayame,3.47
Marine,Ayame,2.4
Matsuri,Ayame,3.84
Mel,Ayame,3.78
Miko,Ayame,2.26
Mio,Ayame,3.37
Nene,Ayame,3.39
Noel,Ayame,2.08
Okayu,Ayame,3.02
Pekora,Ayame,2.12
Polka,Ayame,3.41
Roboco,Ayame,5.14
Shion,Ayame,6.49
Sora,Ayame,3.81
Subaru,Ayame,2.5
Suisei,Ayame,3.16
Towa,Ayame,4.43
Watame,Ayame,2.55
Aki,AZki,4.43
Aqua,AZki,2.74
Ayame,AZki,3.39
Botan,AZki,2.55
Chloe,AZki,1.82
Choco,AZki,4.02
Flare,AZki,3.51
Fubuki,AZki,1.95
Haato,AZki,3.39
Iroha,AZki,2.89
Korone,AZki,1.88
Koyori,AZki,2.36
Lamy,AZki,2.42
Laplus,AZki,2.05
Lui,AZki,2.93
Luna,AZki,4.07
Marine,AZki,2.12
Matsuri,AZki,2.92
Mel,AZki,4.72
Miko,AZki,2.09
Mio,AZki,2.92
Nene,AZki,3.43
Noel,AZki,1.83
Okayu,AZki,2.01
Pekora,AZki,1.61
Polka,AZki,3.98
Roboco,AZki,7.37
Shion,AZki,3.63
Sora,AZki,7.81
Subaru,AZki,2.46
Suisei,AZki,3.06
Towa,AZki,3.34
Watame,AZki,2.89
Aki,Botan,30.12
Aqua,Botan,18.49
Ayame,Botan,19.44
AZki,Botan,30.43
Chloe,Botan,20.92
Choco,Botan,30.86
