from,to,value
Anya,Anya,
Iofi,Anya,15.83
Kaela,Anya,7.46
Kobo,Anya,8.46
Moona,Anya,14.03
Ollie,Anya,14.22
Reine,Anya,11.67
Risu,Anya,12.37
Zeta,Anya,16.42
Anya,Iofi,30.68
Kaela,Iofi,13.04
Kobo,Iofi,14.37
Moona,Iofi,28.36
Ollie,Iofi,27.84
Reine,Iofi,18.89
Risu,Iofi,27.37
Zeta,Iofi,25.73
Anya,Kaela,41.35
Iofi,Kaela,37.31
Kobo,Kaela,29.29
Moona,Kaela,40.21
Ollie,Kaela,34.7
Reine,Kaela,29.54
Risu,Kaela,34.3
Zeta,Kaela,40.57
Anya,Kobo,14.86
Iofi,Kobo,13.04
Kaela,Kobo,9.28
Moona,Kobo,16.05
Ollie,Kobo,11.53
Reine,Kobo,9.75
Risu,Kobo,14.06
Zeta,Kobo,20.6
Anya,Moona,36.49
Iofi,Moona,38.08
Kaela,Moona,18.86
Kobo,Moona,23.75
Ollie,Moona,29.31
Reine,Moona,28.26
Risu,Moona,34.63
Zeta,Moona,36.62
Anya,Ollie,31.35
Iofi,Ollie,31.66
Kaela,Ollie,13.79
Kobo,Ollie,14.45
Moona,Ollie,24.83
Reine,Ollie,21.75
Risu,Ollie,22.8
Zeta,Ollie,26.12
Anya,Reine,41.89
Iofi,Reine,35.01
Kaela,Reine,19.13
Kobo,Reine,19.91
Moona,Reine,39.01
Ollie,Reine,35.44
Risu,Reine,30.4
Zeta,Reine,36.07
Anya,Risu,24.86
Iofi,Risu,28.38
Kaela,Risu,12.43
Kobo,Risu,16.06
Moona,Risu,26.75
Ollie,Risu,20.78
Reine,Risu,17.01
Zeta,Risu,24.7
Anya,Zeta,28.11
Iofi,Zeta,22.73
Kaela,Zeta,12.52
Kobo,Zeta,20.06
Moona,Zeta,24.1
Ollie,Zeta,20.29
Reine,Zeta,17.2
Risu,Zeta,21.05
