from,to,value
Aki,Aki,
Ao,Aki,18.14
Ayame,Aki,15.82
AZki,Aki,14.71
Botan,Aki,20.01
Chihaya,Aki,13.91
Choco,Aki,39.84
Flare,Aki,19.89
Fubuki,Aki,12.09
Haato,Aki,18.44
Hajime,Aki,13.12
Iroha,Aki,16.35
Kanade,Aki,10.44
Kanata,Aki,12.84
Korone,Aki,12.62
Koyori,Aki,12.24
Lamy,Aki,14.42
Laplus,Aki,18.75
Lui,Aki,16.59
Luna,Aki,15.85
Marine,Aki,12.53
Matsuri,Aki,18.92
Miko,Aki,9.61
Mio,Aki,14.79
Nene,Aki,15.99
Niko,Aki,14.61
Noel,Aki,14.31
Okayu,Aki,12.64
Pekora,Aki,9.64
Polka,Aki,17.07
Raden,Aki,18.53
Riona,Aki,17.67
Ririka,Aki,16.36
Roboco,Aki,24.91
Shion,Aki,15.53
Sora,Aki,17.76
Su,Aki,14.21
Subaru,Aki,10.23
Suisei,Aki,11.84
Towa,Aki,21.76
Vivi,Aki,10.54
Watame,Aki,14.89
Aki,Ao,24.75
Ayame,Ao,18.67
AZki,Ao,20.87
Botan,Ao,23.26
Chihaya,Ao,24.38
Choco,Ao,34.96
Flare,Ao,22.91
Fubuki,Ao,17.62
Haato,Ao,22.55
Hajime,Ao,32.12
Iroha,Ao,26.14
Kanade,Ao,23.11
Kanata,Ao,20.87
Korone,Ao,20.42
Koyori,Ao,18.22
Lamy,Ao,21.39
Laplus,Ao,19.55
Lui,Ao,26.99
Luna,Ao,18.62
Marine,Ao,21.89
Matsuri,Ao,28.97
Miko,Ao,16.06
Mio,Ao,20.96
Nene,Ao,25.09
Niko,Ao,28.66
Noel,Ao,23.42
Okayu,Ao,19.25
Pekora,Ao,15.18
Polka,Ao,24.97
Raden,Ao,29.15
Riona,Ao,26.93
Ririka,Ao,28.8
Roboco,Ao,29.64
Shion,Ao,23.33
Sora,Ao,22.22
Su,Ao,24.36
Subaru,Ao,17.02
Suisei,Ao,17.44
Towa,Ao,23.51
Vivi,Ao,18
Watame,Ao,22.18
Aki,Ayame,6.56
Ao,Ayame,5.67
AZki,Ayame,6.08
Botan,Ayame,6.39
Chihaya,Ayame,5.5
Choco,Ayame,9.99
Flare,Ayame,6.63
Fubuki,Ayame,5.63
Haato,Ayame,6.32
Hajime,Ayame,5.23
Iroha,Ayame,9.3
Kanade,Ayame,4.77
Kanata,Ayame,5.45
Korone,Ayame,5.49
Koyori,Ayame,4.81
Lamy,Ayame,7.24
Laplus,Ayame,5.81
Lui,Ayame,6.01
Luna,Ayame,6.6
Marine,Ayame,5.25
Matsuri,Ayame,7.6
Miko,Ayame,3.99
Mio,Ayame,6.6
Nene,Ayame,6.74
Niko,Ayame,5.19
Noel,Ayame,5.73
Okayu,Ayame,5.32
Pekora,Ayame,3.89
Polka,Ayame,6.09
Raden,Ayame,5.3
Riona,Ayame,6.07
Ririka,Ayame,6.01
Roboco,Ayame,8.3
Shion,Ayame,10.3
Sora,Ayame,6.26
Su,Ayame,6.07
Subaru,Ayame,3.92
Suisei,Ayame,5.66
Towa,Ayame,8.91
Vivi,Ayame,3.82
Watame,Ayame,5.81
Aki,AZki,28.14
Ao,AZki,29.25
Ayame,AZki,28.03
Botan,AZki,34.99
Chihaya,AZki,31.68
Choco,AZki,36.78
Flare,AZki,29.71
Fubuki,AZki,23.26
Haato,AZki,27.62
Hajime,AZki,25.56
Iroha,AZki,48.4
Kanade,AZki,22.82
Kanata,AZki,31.19
Korone,AZki,26.86
Koyori,AZki,28.15
Lamy,AZki,36.2
Laplus,AZki,18.13
Lui,AZki,30.55
Luna,AZki,25.67
Marine,AZki,25.09
Matsuri,AZki,36.45
Miko,AZki,19.87
Mio,AZki,31.55
Nene,AZki,31.25
Niko,AZki,30.19
Noel,AZki,29.13
Okayu,AZki,22.88
Pekora,AZki,20.72
Polka,AZki,30.34
Raden,AZki,23.77
Riona,AZki,30.75
Ririka,AZki,29.09
Roboco,AZki,36.65
Shion,AZki,33.87
Sora,AZki,36.99
Su,AZki,31.13
Subaru,AZki,20.8
Suisei,AZki,22.7
Towa,AZki,29.79
Vivi,AZki,22.62
Watame,AZki,29.76
Aki,Botan,17.5
Ao,Botan,14.91
Ayame,Botan,13.49
AZki,Botan,16
Chihaya,Botan,16.43
Choco,Botan,21.2
Flare,Botan,20.38
Fubuki,Botan,11.76
Haato,Botan,13.23
Hajime,Botan,13.1
Iroha,Botan,15.32
Kanade,Botan,10.2
Kanata,Botan,15.53
Korone,Botan,15.13
Koyori,Botan,13.48
Lamy,Botan,23.16
Laplus,Botan,16.14
Lui,Botan,18.57
Luna,Botan,16.16
Marine,Botan,12.23
Matsuri,Botan,18.61
Miko,Botan,9.94
Mio,Botan,16.95
Nene,Botan,19.74
Niko,Botan,16.09
Noel,Botan,14.37
Okayu,Botan,11.7
Pekora,Botan,9.49
Polka,Botan,20.83
Raden,Botan,12.93
Riona,Botan,14.97
Ririka,Botan,16.28
Roboco,Botan,22.18
Shion,Botan,15.23
Sora,Botan,16.18
Su,Botan,12.9
Subaru,Botan,11.65
Suisei,Botan,10.83
Towa,Botan,19.33
Vivi,Botan,9.87
Watame,Botan,15.34
Aki,Chihaya,14.6
Ao,Chihaya,18.75
Ayame,Chihaya,13.93
AZki,Chihaya,17.38
Botan,Chihaya,19.71
Choco,Chihaya,18.67
Flare,Chihaya,17.07
Fubuki,Chihaya,12.21
Haato,Chihaya,16.93
Hajime,Chihaya,20.47
Iroha,Chihaya,20.21
Kanade,Chihaya,15.23
Kanata,Chihaya,15.05
Korone,Chihaya,14.07
Koyori,Chihaya,14.26
Lamy,Chihaya,16.66
Laplus,Chihaya,12.32
Lui,Chihaya,21.6
Luna,Chihaya,12.77
Marine,Chihaya,13.22
Matsuri,Chihaya,21.06
Miko,Chihaya,10.05
Mio,Chihaya,16.26
Nene,Chihaya,17.31
Niko,Chihaya,29.78
Noel,Chihaya,16.11
Okayu,Chihaya,13.04
Pekora,Chihaya,10.17
Polka,Chihaya,17.44
Raden,Chihaya,15.03
Riona,Chihaya,30.56
Ririka,Chihaya,21.67
Roboco,Chihaya,22.23
Shion,Chihaya,17.72
Sora,Chihaya,19.25
Su,Chihaya,25.99
Subaru,Chihaya,11.13
Suisei,Chihaya,12.64
Towa,Chihaya,18.51
Vivi,Chihaya,16.67
Watame,Chihaya,15.4
Aki,Choco,17.89
Ao,Choco,11.51
Ayame,Choco,10.83
AZki,Choco,8.64
Botan,Choco,10.88
Chihaya,Choco,7.99
Flare,Choco,13.42
Fubuki,Choco,7.85
Haato,Choco,12.45
Hajime,Choco,9.45
Iroha,Choco,12.27
Kanade,Choco,6.5
Kanata,Choco,7.22
Korone,Choco,6.91
Koyori,Choco,7.04
Lamy,Choco,9.04
Laplus,Choco,9.22
Lui,Choco,9.39
Luna,Choco,10.4
Marine,Choco,7.2
Matsuri,Choco,11.16
Miko,Choco,5.4
Mio,Choco,9.2
Nene,Choco,8.9
Niko,Choco,8.86
Noel,Choco,9.28
Okayu,Choco,8.26
Pekora,Choco,5.13
Polka,Choco,10.52
Raden,Choco,13.56
Riona,Choco,10.99
Ririka,Choco,11.36
Roboco,Choco,17.17
Shion,Choco,9.68
Sora,Choco,12.08
Su,Choco,7.53
Subaru,Choco,5.61
Suisei,Choco,7.38
Towa,Choco,11.35
Vivi,Choco,5.56
Watame,Choco,8.86
Aki,Flare,21.52
Ao,Flare,18.17
Ayame,Flare,17.32
AZki,Flare,16.81
Botan,Flare,25.21
Chihaya,Flare,17.6
