from,to,value
Anya,Anya,
Iofi,Anya,17.84
Kaela,Anya,10.29
Kobo,Anya,3.89
Moona,Anya,13.59
Ollie,Anya,15.71
Reine,Anya,20.31
Risu,Anya,15.07
Zeta,Anya,10.68
Anya,Iofi,40.68
Kaela,Iofi,20.23
Kobo,Iofi,9.78
Moona,Iofi,30.49
Ollie,Iofi,30.14
Reine,Iofi,29.5
Risu,Iofi,34.92
Zeta,Iofi,19.84
Anya,Kaela,45.99
Iofi,Kaela,39.66
Kobo,Kaela,13.96
Moona,Kaela,39.76
Ollie,Kaela,41.4
Reine,Kaela,34.66
Risu,Kaela,41.04
Zeta,Kaela,30.57
Anya,Kobo,31.11
Iofi,Kobo,34.32
Kaela,Kobo,24.97
Moona,Kobo,33.76
Ollie,Kobo,30.42
Reine,Kobo,24.38
Risu,Kobo,30.34
Zeta,Kobo,32.06
Anya,Moona,40.64
Iofi,Moona,39.98
Kaela,Moona,26.59
Kobo,Moona,12.62
Ollie,Moona,36.22
Reine,Moona,31.15
Risu,Moona,40.55
Zeta,Moona,24.68
Anya,Ollie,41.48
Iofi,Ollie,34.91
Kaela,Ollie,24.46
Kobo,Ollie,10.04
Moona,Ollie,31.99
Reine,Ollie,30.2
Risu,Ollie,33.72
Zeta,Ollie,20.16
Anya,Reine,23.4
Iofi,Reine,14.9
Kaela,Reine,8.93
Kobo,Reine,3.51
Moona,Reine,12
Ollie,Reine,13.17
Risu,Reine,13.43
Zeta,Reine,10.07
Anya,Risu,38.62
Iofi,Risu,39.24
Kaela,Risu,23.52
Kobo,Risu,9.72
Moona,Risu,34.74
Ollie,Risu,32.71
Reine,Risu,29.87
Zeta,Risu,21.13
Anya,Zeta,39.92
Iofi,Zeta,32.53
Kaela,Zeta,25.55
Kobo,Zeta,14.98
Moona,Zeta,30.85
Ollie,Zeta,28.52
Reine,Zeta,32.69
Risu,Zeta,30.82
