from,to,value
Anya,Anya,
Iofi,Anya,18.95
Kaela,Anya,12.59
Kobo,Anya,8.89
Moona,Anya,19.05
Ollie,Anya,17.26
Reine,Anya,24.68
Risu,Anya,16.51
Zeta,Anya,16.85
Anya,Iofi,30.23
Kaela,Iofi,18.63
Kobo,Iofi,13.77
Moona,Iofi,33.46
Ollie,Iofi,27.24
Reine,Iofi,34.81
Risu,Iofi,31.64
Zeta,Iofi,24.64
Anya,Kaela,38.08
Iofi,Kaela,35.32
Kobo,Kaela,19.16
Moona,Kaela,35.77
Ollie,Kaela,34.45
Reine,Kaela,43.24
Risu,Kaela,34.53
Zeta,Kaela,33.91
Anya,Kobo,15.56
Iofi,Kobo,15.11
Kaela,Kobo,11.09
Moona,Kobo,17.87
Ollie,Kobo,14.84
Reine,Kobo,16.52
Risu,Kobo,17.38
Zeta,Kobo,16.76
Anya,Moona,26.06
Iofi,Moona,28.7
Kaela,Moona,16.19
Kobo,Moona,13.97
Ollie,Moona,22.28
Reine,Moona,29.54
Risu,Moona,29.38
Zeta,Moona,21.34
Anya,Ollie,23.91
Iofi,Ollie,23.64
Kaela,Ollie,15.78
Kobo,Ollie,11.74
Moona,Ollie,22.54
Reine,Ollie,31.79
Risu,Ollie,19.79
Zeta,Ollie,18.25
Anya,Reine,18.56
Iofi,Reine,16.41
Kaela,Reine,10.75
Kobo,Reine,7.1
Moona,Reine,16.23
Ollie,Reine,17.26
Risu,Reine,13.32
Zeta,Reine,14.16
Anya,Risu,30.36
Iofi,Risu,36.46
Kaela,Risu,21.0
Kobo,Risu,18.25
Moona,Risu,39.47
Ollie,Risu,26.27
Reine,Risu,32.57
Zeta,Risu,25.6
Anya,Zeta,24.02
Iofi,Zeta,22.01
Kaela,Zeta,15.98
Kobo,Zeta,13.65
Moona,Zeta,22.22
Ollie,Zeta,18.78
Reine,Zeta,26.84
Risu,Zeta,19.85
