from,to,value
Amelia,Amelia,
Baelz,Amelia,33.97
Calli,Amelia,31.62
Fauna,Amelia,33.13
Gura,Amelia,25.59
Ina,Amelia,40.92
IRyS,Amelia,38.55
Kiara,Amelia,28.49
Kronii,Amelia,37.19
Mumei,Amelia,35.76
Amelia,Baelz,28.61
Calli,Baelz,32.06
Fauna,Baelz,37.26
Gura,Baelz,23.52
Ina,Baelz,41.06
IRyS,Baelz,40.17
Kiara,Baelz,28.04
Kronii,Baelz,38.31
Mumei,Baelz,34.81
Amelia,Calli,22.41
Baelz,Calli,26.98
Fauna,Calli,24.97
Gura,Calli,18.04
Ina,Calli,30.7
IRyS,Calli,27.93
Kiara,Calli,24.11
Kronii,Calli,28.32
Mumei,Calli,24.13
Amelia,Fauna,29
Baelz,Fauna,38.71
Calli,Fauna,30.84
Gura,Fauna,26.97
Ina,Fauna,43.61
IRyS,Fauna,38.15
Kiara,Fauna,28.82
Kronii,Fauna,38.31
Mumei,Fauna,38.05
Amelia,Gura,27.11
Baelz,Gura,29.58
Calli,Gura,26.95
Fauna,Gura,32.63
Ina,Gura,35.74
IRyS,Gura,31.28
Kiara,Gura,24.47
Kronii,Gura,30.43
Mumei,Gura,31.17
Amelia,Ina,14.53
Baelz,Ina,17.3
Calli,Ina,15.37
Fauna,Ina,17.69
Gura,Ina,11.98
IRyS,Ina,20.2
Kiara,Ina,13.77
Kronii,Ina,19.94
Mumei,Ina,17.1
Amelia,IRyS,19.8
Baelz,IRyS,24.49
Calli,IRyS,20.23
Fauna,IRyS,22.38
Gura,IRyS,15.17
Ina,IRyS,29.22
Kiara,IRyS,17.43
Kronii,IRyS,24.67
Mumei,IRyS,22.04
Amelia,Kiara,22.18
Baelz,Kiara,25.91
Calli,Kiara,26.48
Fauna,Kiara,25.63
Gura,Kiara,17.99
Ina,Kiara,30.19
IRyS,Kiara,26.43
Kronii,Kiara,25.28
Mumei,Kiara,24.04
Amelia,Kronii,17.7
Baelz,Kronii,21.64
Calli,Kronii,19.01
Fauna,Kronii,20.82
Gura,Kronii,13.67
Ina,Kronii,26.73
IRyS,Kronii,22.86
Kiara,Kronii,15.45
Mumei,Kronii,21.63
Amelia,Mumei,31.25
Baelz,Mumei,36.11
Calli,Mumei,29.75
Fauna,Mumei,37.98
Gura,Mumei,25.71
Ina,Mumei,42.1
IRyS,Mumei,37.51
Kiara,Mumei,26.98
Kronii,Mumei,39.73
