from,to,value
Uyu,Temma,24.19
Vesper,Temma,2.07
Altare,Uyu,2.12
Aruran,Uyu,7.39
Astel,Uyu,10.61
Axel,Uyu,2.36
Dezmond,Uyu,1.75
Fuma,Uyu,23.45
Gamma,Uyu,14.47
Izuru,Uyu,16
Miyabi,Uyu,20.32
Oga,Uyu,12.77
Rikka,Uyu,15.99
Rio,Uyu,22.1
Roberu,Uyu,3.92
Shien,Uyu,15.41
Temma,Uyu,16.69
Vesper,Uyu,2.12
Altare,Vesper,44.95
Aruran,Vesper,20.37
Astel,Vesper,25.04
Axel,Vesper,41.9
Dezmond,Vesper,42.06
Fuma,Vesper,22.35
Gamma,Vesper,19.88
Izuru,Vesper,19.3
Miyabi,Vesper,20.86
Oga,Vesper,17.45
Rikka,Vesper,22.65
Rio,Vesper,25.12
Roberu,Vesper,6.03
Shien,Vesper,23.84
Temma,Vesper,22.41
Uyu,Vesper,33.37
