from,to,value
Roboco,Botan,9.72
Shion,Botan,4.1
Sora,Botan,7.54
Subaru,Botan,6.08
Towa,Botan,9.85
Watame,Botan,6.71
Aki,Chloe,5.73
Ao,Chloe,6.87
Aqua,Chloe,7.7
Ayame,Chloe,7.49
AZki,Chloe,7.8
Botan,Chloe,7.05
Choco,Chloe,12.94
Flare,Chloe,8.54
Fubuki,Chloe,7.08
Haato,Chloe,8.78
Hajime,Chloe,9.86
Iroha,Chloe,12.37
Kanade,Chloe,8.57
Kanata,Chloe,10.42
Korone,Chloe,4.6
Koyori,Chloe,11.36
Lamy,Chloe,11.55
Laplus,Chloe,12.91
Lui,Chloe,10.5
Luna,Chloe,6.71
Marine,Chloe,7.84
Matsuri,Chloe,10.55
Miko,Chloe,4.79
Mio,Chloe,7.87
Nene,Chloe,9.98
Noel,Chloe,9.72
Okayu,Chloe,5.95
Pekora,Chloe,4.94
Polka,Chloe,7.17
Raden,Chloe,7.28
Ririka,Chloe,10.89
Roboco,Chloe,11.83
Shion,Chloe,10.26
Sora,Chloe,7.54
Subaru,Chloe,5.01
Towa,Chloe,7.59
Watame,Chloe,5.54
Aki,Choco,3.91
Ao,Choco,2.13
Aqua,Choco,0.91
Ayame,Choco,1.18
AZki,Choco,1.88
Botan,Choco,1.81
Chloe,Choco,2.01
Flare,Choco,2.63
Fubuki,Choco,1.52
Haato,Choco,3.44
Hajime,Choco,1.32
Iroha,Choco,2.22
Kanade,Choco,1.37
Kanata,Choco,1.55
Korone,Choco,1.16
Koyori,Choco,1.57
Lamy,Choco,1.9
Laplus,Choco,2.17
Lui,Choco,2.93
Luna,Choco,2.22
Marine,Choco,1.45
Matsuri,Choco,3.31
Miko,Choco,0.86
Mio,Choco,2.44
Nene,Choco,2.13
Noel,Choco,3.47
Okayu,Choco,1.48
Pekora,Choco,0.8
Polka,Choco,1.99
Raden,Choco,1.67
Ririka,Choco,2.24
Roboco,Choco,6.21
Shion,Choco,0.51
Sora,Choco,3.34
Subaru,Choco,1.65
Towa,Choco,1.72
Watame,Choco,1.4
Aki,Flare,12.73
Ao,Flare,10.2
Aqua,Flare,6.52
Ayame,Flare,7.15
AZki,Flare,10.79
Botan,Flare,12.72
Chloe,Flare,10.49
Choco,Flare,20.74
Fubuki,Flare,10.61
Haato,Flare,12.02
Hajime,Flare,9.31
Iroha,Flare,11.81
Kanade,Flare,7.89
Kanata,Flare,11.57
Korone,Flare,6.93
Koyori,Flare,10.75
Lamy,Flare,11.08
Laplus,Flare,8.81
Lui,Flare,17.15
Luna,Flare,12.23
Marine,Flare,12.98
Matsuri,Flare,15.72
Miko,Flare,6.63
Mio,Flare,15.52
Nene,Flare,12.57
Noel,Flare,17.56
Okayu,Flare,7.79
Pekora,Flare,8.19
Polka,Flare,14.46
Raden,Flare,8.36
Ririka,Flare,11.28
Roboco,Flare,17.75
Shion,Flare,8.46
Sora,Flare,13.6
Subaru,Flare,8.1
Towa,Flare,9.52
Watame,Flare,10.17
Aki,Fubuki,12.18
Ao,Fubuki,11.29
Aqua,Fubuki,12.9
Ayame,Fubuki,14.76
AZki,Fubuki,14.61
Botan,Fubuki,13.78
Chloe,Fubuki,14.99
Choco,Fubuki,20.74
Flare,Fubuki,18.3
Haato,Fubuki,13.91
Hajime,Fubuki,11.6
Iroha,Fubuki,18.59
Kanade,Fubuki,10.28
Kanata,Fubuki,14.36
Korone,Fubuki,11.58
Koyori,Fubuki,15.81
Lamy,Fubuki,13.77
Laplus,Fubuki,12.79
Lui,Fubuki,15.85
Luna,Fubuki,11.02
Marine,Fubuki,10.84
Matsuri,Fubuki,20.99
Miko,Fubuki,11.3
Mio,Fubuki,26.58
Nene,Fubuki,12.83
Noel,Fubuki,13.79
Okayu,Fubuki,16.09
Pekora,Fubuki,8.3
Polka,Fubuki,15.42
Raden,Fubuki,9.98
Ririka,Fubuki,11.9
Roboco,Fubuki,19.65
Shion,Fubuki,10.51
Sora,Fubuki,15.74
Subaru,Fubuki,11
Towa,Fubuki,12.68
Watame,Fubuki,12.3
Aki,Haato,6.19
Ao,Haato,4.21
Aqua,Haato,3.03
Ayame,Haato,2.38
AZki,Haato,3.66
Botan,Haato,3.8
Chloe,Haato,4
Choco,Haato,10.06
Flare,Haato,4.45
Fubuki,Haato,2.99
Hajime,Haato,4.54
Iroha,Haato,3.93
Kanade,Haato,4.43
Kanata,Haato,4.65
Korone,Haato,3
Koyori,Haato,4.24
Lamy,Haato,3.72
Laplus,Haato,5.91
Lui,Haato,4.55
Luna,Haato,7.8
Marine,Haato,3.46
Matsuri,Haato,9.93
Miko,Haato,2.68
Mio,Haato,4
Nene,Haato,6.98
Noel,Haato,4.76
Okayu,Haato,2.64
Pekora,Haato,2.71
Polka,Haato,4.68
Raden,Haato,2.85
Ririka,Haato,5.71
Roboco,Haato,11.03
Shion,Haato,4.36
Sora,Haato,6.31
Subaru,Haato,2.74
Towa,Haato,3.78
Watame,Haato,4.13
Aki,Hajime,5.18
Ao,Hajime,16.7
Aqua,Hajime,4.32
Ayame,Hajime,3.98
AZki,Hajime,5.99
Botan,Hajime,6.22
Chloe,Hajime,8.12
Choco,Hajime,6.98
Flare,Hajime,6.25
Fubuki,Hajime,4.51
Haato,Hajime,8.22
Iroha,Hajime,10.2
Kanade,Hajime,13.13
Kanata,Hajime,6.91
Korone,Hajime,4.45
Koyori,Hajime,6.62
Lamy,Hajime,5.6
Laplus,Hajime,10.62
Lui,Hajime,8.78
Luna,Hajime,8.36
Marine,Hajime,5.43
Matsuri,Hajime,6.1
Miko,Hajime,4.9
Mio,Hajime,6.5
Nene,Hajime,9.31
Noel,Hajime,5.83
Okayu,Hajime,4.74
Pekora,Hajime,4.43
Polka,Hajime,6.58
Raden,Hajime,10.69
Ririka,Hajime,12.38
Roboco,Hajime,11.1
Shion,Hajime,6.92
Sora,Hajime,6.75
Subaru,Hajime,6.02
Towa,Hajime,5.5
Watame,Hajime,5.66
Aki,Iroha,8.22
Ao,Iroha,10.56
Aqua,Iroha,7.96
Ayame,Iroha,9.51
AZki,Iroha,12.22
Botan,Iroha,9.75
Chloe,Iroha,15.51
Choco,Iroha,17.86
Flare,Iroha,12.05
Fubuki,Iroha,11
Haato,Iroha,10.82
Hajime,Iroha,15.52
Kanade,Iroha,11.37
Kanata,Iroha,10.8
Korone,Iroha,5.94
Koyori,Iroha,13.03
Lamy,Iroha,11.6
Laplus,Iroha,18.94
Lui,Iroha,16.36
Luna,Iroha,8.15
Marine,Iroha,7.47
Matsuri,Iroha,14.79
Miko,Iroha,6.13
Mio,Iroha,13.56
Nene,Iroha,12.31
Noel,Iroha,10.32
Okayu,Iroha,7.77
Pekora,Iroha,5.64
Polka,Iroha,9.34
Raden,Iroha,9.83
Ririka,Iroha,11.69
Roboco,Iroha,15.05
Shion,Iroha,8.97
Sora,Iroha,11.75
Subaru,Iroha,8.61
Towa,Iroha,10.26
Watame,Iroha,8.18
Aki,Kanade,5.68
Ao,Kanade,17.12
Aqua,Kanade,8.37
Ayame,Kanade,5.89
AZki,Kanade,9.27
Botan,Kanade,5.81
Chloe,Kanade,10.39
Choco,Kanade,10.68
Flare,Kanade,7.78
Fubuki,Kanade,5.89
Haato,Kanade,11.81
Hajime,Kanade,19.32
Iroha,Kanade,10.99
Kanata,Kanade,9.13
Korone,Kanade,5.06
Koyori,Kanade,9.18
Lamy,Kanade,6.93
Laplus,Kanade,11.46
Lui,Kanade,8.15
Luna,Kanade,9.42
Marine,Kanade,5.83
Matsuri,Kanade,11.48
Miko,Kanade,5.86
Mio,Kanade,6.42
Nene,Kanade,10.78
Noel,Kanade,7
Okayu,Kanade,4.44
Pekora,Kanade,5.27
Polka,Kanade,5.85
Raden,Kanade,8.87
Ririka,Kanade,15.57
Roboco,Kanade,12.64
Shion,Kanade,9.74
Sora,Kanade,10.81
Subaru,Kanade,5.16
Towa,Kanade,8.45
Watame,Kanade,6.65
Aki,Kanata,10.25
Ao,Kanata,9.99
Aqua,Kanata,11.17
Ayame,Kanata,7.73
AZki,Kanata,13.03
Botan,Kanata,10.57
Chloe,Kanata,15.92
Choco,Kanata,15.2
Flare,Kanata,14.39
Fubuki,Kanata,10.35
Haato,Kanata,15.6
Hajime,Kanata,12.81
Iroha,Kanata,13.16
Kanade,Kanata,11.5
Korone,Kanata,8.09
Koyori,Kanata,12.52
Lamy,Kanata,14.67
Laplus,Kanata,12.3
Lui,Kanata,12.35
Luna,Kanata,14.06
Marine,Kanata,12.02
Matsuri,Kanata,15.2
Miko,Kanata,8.41
Mio,Kanata,12.35
Nene,Kanata,14.94
Noel,Kanata,11.55
Okayu,Kanata,8.62
Pekora,Kanata,8.46
Polka,Kanata,11.68
Raden,Kanata,8.51
Ririka,Kanata,11.6
Roboco,Kanata,16.58
Shion,Kanata,13.33
Sora,Kanata,11.72
Subaru,Kanata,10.71
Towa,Kanata,11.78
Watame,Kanata,8.48
Aki,Korone,5.99
Ao,Korone,5.15
Aqua,Korone,5.55
Ayame,Korone,4.53
AZki,Korone,4.75
Botan,Korone,7.05
Chloe,Korone,5.05
Choco,Korone,8.21
Flare,Korone,6.19
Fubuki,Korone,6.01
Haato,Korone,7.24
Hajime,Korone,5.94
Iroha,Korone,5.2
Kanade,Korone,4.59
Kanata,Korone,5.82
Koyori,Korone,6.3
Lamy,Korone,6.74
Laplus,Korone,5.19
Lui,Korone,7.13
Luna,Korone,7.09
Marine,Korone,5.54
Matsuri,Korone,6.51
Miko,Korone,5.61
Mio,Korone,11.22
Nene,Korone,7.32
Noel,Korone,5.5
Okayu,Korone,9.75
Pekora,Korone,4.94
Polka,Korone,7.2
Raden,Korone,4.45
Ririka,Korone,4.38
Roboco,Korone,7.45
Shion,Korone,8.21
Sora,Korone,5.15
Subaru,Korone,7.58
Towa,Korone,5.09
Watame,Korone,5.94
Aki,Koyori,11.87
Ao,Koyori,12.9
Aqua,Koyori,11.72
Ayame,Koyori,8.81
AZki,Koyori,15.09
Botan,Koyori,13.13
Chloe,Koyori,21.52
Choco,Koyori,19.1
Flare,Koyori,16.58
Fubuki,Koyori,14.14
Haato,Koyori,17.64
Hajime,Koyori,15.21
Iroha,Koyori,19.68
Kanade,Koyori,14.35
Kanata,Koyori,15.53
Korone,Koyori,10.86
Lamy,Koyori,20.32
Laplus,Koyori,14.35
Lui,Koyori,21.42
Luna,Koyori,15.21
Marine,Koyori,13.65
Matsuri,Koyori,18.3
Miko,Koyori,10.56
Mio,Koyori,18.09
Nene,Koyori,17.82
Noel,Koyori,15.91
Okayu,Koyori,11.19
Pekora,Koyori,11.16
Polka,Koyori,14.69
Raden,Koyori,10.76
Ririka,Koyori,23.36
Roboco,Koyori,20.16
Shion,Koyori,8.72
Sora,Koyori,15.81
Subaru,Koyori,10.74
Towa,Koyori,10.63
Watame,Koyori,12.62
Aki,Lamy,7.31
Ao,Lamy,7.02
Aqua,Lamy,8.49
Ayame,Lamy,7
AZki,Lamy,8.93
Botan,Lamy,13.17
Chloe,Lamy,13.59
Choco,Lamy,14.37
Flare,Lamy,10.62
Fubuki,Lamy,7.65
Haato,Lamy,9.63
Hajime,Lamy,7.99
Iroha,Lamy,10.89
Kanade,Lamy,6.72
Kanata,Lamy,11.3
Korone,Lamy,7.22
Koyori,Lamy,12.62
Laplus,Lamy,8.08
Lui,Lamy,10.15
Luna,Lamy,8.12
Marine,Lamy,9.67
Matsuri,Lamy,11.79
Miko,Lamy,5.88
Mio,Lamy,11.06
Nene,Lamy,14.88
Noel,Lamy,13.07
Okayu,Lamy,6.73
Pekora,Lamy,5.94
Polka,Lamy,12.58
Raden,Lamy,6.62
Ririka,Lamy,10.85
Roboco,Lamy,10.08
Shion,Lamy,10.77
Sora,Lamy,8.2
Subaru,Lamy,6.78
Towa,Lamy,7.67
Watame,Lamy,6.56
Aki,Laplus,1.47
Ao,Laplus,2.55
Aqua,Laplus,1.88
Ayame,Laplus,2.08
AZki,Laplus,1.33
Botan,Laplus,1.71
Chloe,Laplus,3.42
Choco,Laplus,3.7
Flare,Laplus,1.9
Fubuki,Laplus,1.6
Haato,Laplus,3.44
Hajime,Laplus,3.41
Iroha,Laplus,4
Kanade,Laplus,2.51
Kanata,Laplus,2.13
Korone,Laplus,1.25
Koyori,Laplus,2.01
Lamy,Laplus,1.82
Lui,Laplus,3.09
Luna,Laplus,1.51
Marine,Laplus,1.49
Matsuri,Laplus,3.62
Miko,Laplus,1.04
Mio,Laplus,1.72
Nene,Laplus,2.16
Noel,Laplus,1.5
Okayu,Laplus,1
Pekora,Laplus,1.08
Polka,Laplus,2.31
Raden,Laplus,2.1
Ririka,Laplus,1.9
Roboco,Laplus,3.14
Shion,Laplus,4.1
Sora,Laplus,1.49
Subaru,Laplus,1.27
Towa,Laplus,2.13
Watame,Laplus,1.06
Aki,Lui,10.81
Ao,Lui,13.42
Aqua,Lui,4.38
Ayame,Lui,4.2
AZki,Lui,8.31
Botan,Lui,13.1
Chloe,Lui,10.55
Choco,Lui,18.89
Flare,Lui,14.03
Fubuki,Lui,7.52
Haato,Lui,10.05
Hajime,Lui,10.71
Iroha,Lui,13.11
Kanade,Lui,6.75
Kanata,Lui,8.12
Korone,Lui,6.52
Koyori,Lui,11.36
Lamy,Lui,8.67
Laplus,Lui,11.7
Luna,Lui,9.81
Marine,Lui,8.49
Matsuri,Lui,10.65
Miko,Lui,5.22
Mio,Lui,12.03
Nene,Lui,10.03
Noel,Lui,10.86
Okayu,Lui,8.12
Pekora,Lui,5.45
Polka,Lui,10.48
Raden,Lui,10.99
Ririka,Lui,12.19
Roboco,Lui,16.58
Shion,Lui,4.62
Sora,Lui,10.08
Subaru,Lui,9.25
Towa,Lui,8.37
Watame,Lui,8.49
Aki,Luna,11.87
Ao,Luna,7.28
Aqua,Luna,5.79
Ayame,Luna,4.29
AZki,Luna,7.91
Botan,Luna,7.9
Chloe,Luna,7.26
