from,to,value
Korone,Choco,14.01
Koyori,Choco,17.08
Lamy,Choco,20.73
Laplus,Choco,23.08
Lui,Choco,22.5
Luna,Choco,24.95
Marine,Choco,18.19
Matsuri,Choco,20.7
Mel,Choco,33.94
Miko,Choco,14.43
Mio,Choco,22.19
Nene,Choco,20.26
Noel,Choco,22.78
Okayu,Choco,19.16
Pekora,Choco,12.92
Polka,Choco,23.72
Roboco,Choco,31.4
Shion,Choco,25.78
Sora,Choco,23.84
Subaru,Choco,16.63
Suisei,Choco,20.33
Towa,Choco,17.24
Watame,Choco,18.32
Aki,Flare,38.07
Aqua,Flare,20.88
Ayame,Flare,19.38
AZki,Flare,26.99
Botan,Flare,24.09
Chloe,Flare,22.38
Choco,Flare,37.05
Fubuki,Flare,23.22
Haato,Flare,22.57
Iroha,Flare,27.41
Kanata,Flare,23.88
Korone,Flare,18.9
Koyori,Flare,22.71
Lamy,Flare,26.4
Laplus,Flare,25.22
Lui,Flare,29.83
Luna,Flare,28.35
Marine,Flare,25.85
Matsuri,Flare,26.45
Mel,Flare,35.68
Miko,Flare,18.97
Mio,Flare,26.46
Nene,Flare,25.82
Noel,Flare,31.91
Okayu,Flare,22.06
Pekora,Flare,17.98
Polka,Flare,30.69
Roboco,Flare,31.98
Shion,Flare,28.36
Sora,Flare,25.4
Subaru,Flare,19.89
Suisei,Flare,24.58
Towa,Flare,19.73
Watame,Flare,24.8
Aki,Fubuki,29.7
Aqua,Fubuki,23.11
Ayame,Fubuki,22.51
AZki,Fubuki,26.75
Botan,Fubuki,23.24
Chloe,Fubuki,21.94
Choco,Fubuki,28.87
Flare,Fubuki,27.02
Haato,Fubuki,24.01
Iroha,Fubuki,27.81
Kanata,Fubuki,21.54
Korone,Fubuki,18.53
Koyori,Fubuki,21.4
Lamy,Fubuki,23.19
Laplus,Fubuki,24.55
Lui,Fubuki,23.94
Luna,Fubuki,25.59
Marine,Fubuki,19.8
Matsuri,Fubuki,26.45
Mel,Fubuki,28.99
Miko,Fubuki,19.29
Mio,Fubuki,25.99
Nene,Fubuki,23.86
Noel,Fubuki,24.88
Okayu,Fubuki,23.79
Pekora,Fubuki,16.34
Polka,Fubuki,29.8
Roboco,Fubuki,30.91
Shion,Fubuki,26.02
Sora,Fubuki,23.66
Subaru,Fubuki,18.21
Suisei,Fubuki,25.42
Towa,Fubuki,19.44
Watame,Fubuki,22.45
Aki,Haato,22.14
Aqua,Haato,13.88
Ayame,Haato,10.27
AZki,Haato,15.73
Botan,Haato,11.88
Chloe,Haato,12.51
Choco,Haato,18.51
Flare,Haato,13.62
Fubuki,Haato,12.45
Iroha,Haato,13.63
Kanata,Haato,12.83
Korone,Haato,11.2
Koyori,Haato,11.13
Lamy,Haato,12.71
Laplus,Haato,14.02
Lui,Haato,13.98
Luna,Haato,18.88
Marine,Haato,10.76
Matsuri,Haato,16.39
Mel,Haato,21.86
Miko,Haato,11.07
Mio,Haato,12.34
Nene,Haato,17.53
Noel,Haato,13.84
Okayu,Haato,10.79
Pekora,Haato,9.82
Polka,Haato,14.72
Roboco,Haato,22.79
Shion,Haato,16.78
Sora,Haato,17.97
Subaru,Haato,9.73
Suisei,Haato,12.18
Towa,Haato,12.32
Watame,Haato,14.59
Aki,Iroha,36.46
Aqua,Iroha,25.85
Ayame,Iroha,24.43
AZki,Iroha,30.78
Botan,Iroha,24.86
Chloe,Iroha,31.83
Choco,Iroha,36.63
Flare,Iroha,33.27
Fubuki,Iroha,29.02
Haato,Iroha,27.42
Kanata,Iroha,29.5
Korone,Iroha,20.64
Koyori,Iroha,29.91
Lamy,Iroha,30.18
Laplus,Iroha,34.81
Lui,Iroha,31.75
Luna,Iroha,31.53
Marine,Iroha,23.82
Matsuri,Iroha,30.32
Mel,Iroha,34.5
Miko,Iroha,22.84
Mio,Iroha,30.37
Nene,Iroha,32.43
Noel,Iroha,29.68
Okayu,Iroha,25.51
Pekora,Iroha,20.67
Polka,Iroha,32.16
Roboco,Iroha,35.19
Shion,Iroha,33.02
Sora,Iroha,32.26
Subaru,Iroha,22.15
Suisei,Iroha,28.77
Towa,Iroha,23.48
Watame,Iroha,27.86
Aki,Kanata,42.6
Aqua,Kanata,31.13
Ayame,Kanata,25.08
AZki,Kanata,35.15
Botan,Kanata,29.34
Chloe,Kanata,32.83
Choco,Kanata,40.26
Flare,Kanata,37.71
Fubuki,Kanata,29.23
Haato,Kanata,33.57
Iroha,Kanata,38.36
Korone,Kanata,26.82
Koyori,Kanata,33.37
Lamy,Kanata,35.37
Laplus,Kanata,34.55
Lui,Kanata,35.62
Luna,Kanata,44.06
Marine,Kanata,30.71
Matsuri,Kanata,34.18
Mel,Kanata,41.96
Miko,Kanata,28.33
Mio,Kanata,35.08
Nene,Kanata,38.81
Noel,Kanata,34.75
Okayu,Kanata,27.77
Pekora,Kanata,26.62
Polka,Kanata,35.7
Roboco,Kanata,40.17
Shion,Kanata,39.82
Sora,Kanata,33.26
Subaru,Kanata,29.1
Suisei,Kanata,33.14
Towa,Kanata,27.22
Watame,Kanata,30.41
Aki,Korone,38.14
Aqua,Korone,26.16
Ayame,Korone,20.17
AZki,Korone,29.38
Botan,Korone,29.23
Chloe,Korone,25.39
Choco,Korone,33.76
Flare,Korone,31.54
Fubuki,Korone,26.58
Haato,Korone,30.98
Iroha,Korone,28.37
Kanata,Korone,28.34
Koyori,Korone,27.73
Lamy,Korone,29.35
Laplus,Korone,26.35
Lui,Korone,30.99
Luna,Korone,38.04
Marine,Korone,26.67
Matsuri,Korone,28.62
Mel,Korone,33.22
Miko,Korone,26.82
Mio,Korone,32.74
Nene,Korone,33.61
Noel,Korone,30.41
Okayu,Korone,29.29
Pekora,Korone,24.24
Polka,Korone,30.5
Roboco,Korone,35.38
Shion,Korone,35.3
Sora,Korone,29.68
Subaru,Korone,27.12
Suisei,Korone,24.91
Towa,Korone,22.95
Watame,Korone,28.33
Aki,Koyori,48.71
Aqua,Koyori,36.31
Ayame,Koyori,28.09
AZki,Koyori,40.08
Botan,Koyori,35.63
Chloe,Koyori,41.55
Choco,Koyori,47.63
Flare,Koyori,43.86
Fubuki,Koyori,35.53
Haato,Koyori,35.62
Iroha,Koyori,47.57
Kanata,Koyori,40.81
Korone,Koyori,32.09
Lamy,Koyori,44.65
Laplus,Koyori,39.82
Lui,Koyori,44.96
Luna,Koyori,44.89
Marine,Koyori,35.21
Matsuri,Koyori,39.02
Mel,Koyori,48.39
Miko,Koyori,33.88
Mio,Koyori,42.13
Nene,Koyori,44.12
Noel,Koyori,40.33
Okayu,Koyori,33.17
Pekora,Koyori,31.14
Polka,Koyori,41.6
Roboco,Koyori,46.7
Shion,Koyori,43.37
Sora,Koyori,43.49
Subaru,Koyori,34.27
Suisei,Koyori,35.81
Towa,Koyori,30.9
Watame,Koyori,36.76
Aki,Lamy,40.42
Aqua,Lamy,28.67
Ayame,Lamy,26.12
AZki,Lamy,32.25
Botan,Lamy,28.65
Chloe,Lamy,29.46
Choco,Lamy,38.7
Flare,Lamy,34.11
Fubuki,Lamy,25.76
Haato,Lamy,27.22
Iroha,Lamy,32.12
Kanata,Lamy,28.95
Korone,Lamy,22.73
Koyori,Lamy,29.88
Laplus,Lamy,29.95
Lui,Lamy,31.79
Luna,Lamy,33.21
Marine,Lamy,27.2
Matsuri,Lamy,29.53
Mel,Lamy,38.25
Miko,Lamy,23.69
Mio,Lamy,31.27
Nene,Lamy,35.1
Noel,Lamy,33.27
Okayu,Lamy,25.37
Pekora,Lamy,21.16
Polka,Lamy,33.2
