from,to,value
Aruran,Aruran,
Astel,Aruran,18.3
Fuma,Aruran,28.87
Gamma,Aruran,29.19
Izuru,Aruran,25.05
Miyabi,Aruran,38.2
Oga,Aruran,29
Rikka,Aruran,42.99
Rio,Aruran,31.75
Roberu,Aruran,14.08
Shien,Aruran,36.3
Temma,Aruran,40.73
Uyu,Aruran,33.28
Aruran,Astel,19.93
Fuma,Astel,34.97
Gamma,Astel,30.75
Izuru,Astel,49.12
Miyabi,Astel,50.1
Oga,Astel,21.08
Rikka,Astel,46.22
Rio,Astel,35.48
Roberu,Astel,10.98
Shien,Astel,39.33
Temma,Astel,43.9
Uyu,Astel,35.35
Aruran,Fuma,14.58
Astel,Fuma,16.22
Gamma,Fuma,27.82
Izuru,Fuma,24.07
Miyabi,Fuma,30.17
Oga,Fuma,13.9
Rikka,Fuma,30.97
Rio,Fuma,34.68
Roberu,Fuma,6.56
Shien,Fuma,29.92
Temma,Fuma,31.83
Uyu,Fuma,36.31
Aruran,Gamma,22.6
Astel,Gamma,21.87
Fuma,Gamma,42.66
Izuru,Gamma,30.41
Miyabi,Gamma,43.42
Oga,Gamma,29.75
Rikka,Gamma,42.22
Rio,Gamma,49.4
Roberu,Gamma,12.98
Shien,Gamma,49.75
Temma,Gamma,55
Uyu,Gamma,47.61
Aruran,Izuru,12.97
Astel,Izuru,23.35
Fuma,Izuru,24.68
Gamma,Izuru,20.33
Miyabi,Izuru,38.1
Oga,Izuru,13.75
Rikka,Izuru,41.91
Rio,Izuru,24.09
Roberu,Izuru,6.67
Shien,Izuru,30.59
Temma,Izuru,33.05
Uyu,Izuru,22.45
Aruran,Miyabi,18.47
Astel,Miyabi,22.24
Fuma,Miyabi,28.87
Gamma,Miyabi,27.1
Izuru,Miyabi,35.58
Oga,Miyabi,21.08
Rikka,Miyabi,51.62
Rio,Miyabi,32.26
Roberu,Miyabi,7.27
Shien,Miyabi,43.87
Temma,Miyabi,51.34
Uyu,Miyabi,31.85
Aruran,Oga,9.79
Astel,Oga,6.53
Fuma,Oga,9.29
Gamma,Oga,12.96
Izuru,Oga,8.97
Miyabi,Oga,14.72
Rikka,Oga,14.18
Rio,Oga,12.7
Roberu,Oga,4.95
Shien,Oga,21.01
Temma,Oga,14.39
Uyu,Oga,13.69
Aruran,Rikka,14.08
Astel,Rikka,13.9
Fuma,Rikka,20.08
Gamma,Rikka,17.85
Izuru,Rikka,26.51
Miyabi,Rikka,34.97
Oga,Rikka,13.75
Rio,Rikka,22.58
Roberu,Rikka,5.27
Shien,Rikka,32.61
Temma,Rikka,32.8
Uyu,Rikka,23.25
Aruran,Rio,15.89
Astel,Rio,16.31
Fuma,Rio,34.37
Gamma,Rio,31.92
Izuru,Rio,23.29
Miyabi,Rio,33.4
Oga,Rio,18.83
Rikka,Rio,34.51
Roberu,Rio,7.43
Shien,Rio,36.47
Temma,Rio,39.39
Uyu,Rio,41.4
Aruran,Roberu,30.88
Astel,Roberu,22.1
Fuma,Roberu,28.47
Gamma,Roberu,36.74
Izuru,Roberu,28.27
Miyabi,Roberu,32.99
Oga,Roberu,32.14
Rikka,Roberu,35.29
Rio,Roberu,32.56
Shien,Roberu,44.03
Temma,Roberu,39.88
Uyu,Roberu,29.46
Aruran,Shien,10.9
Astel,Shien,10.84
Fuma,Shien,17.78
Gamma,Shien,19.28
Izuru,Shien,17.74
Miyabi,Shien,27.24
Oga,Shien,18.68
Rikka,Shien,29.89
Rio,Shien,21.88
Roberu,Shien,6.03
Temma,Shien,29.88
Uyu,Shien,20.06
Aruran,Temma,16.85
Astel,Temma,16.68
Fuma,Temma,26.07
Gamma,Temma,29.38
Izuru,Temma,26.41
Miyabi,Temma,43.95
Oga,Temma,17.64
Rikka,Temma,41.45
Rio,Temma,32.56
Roberu,Temma,7.52
Shien,Temma,41.18
Uyu,Temma,31.69
Aruran,Uyu,10.54
Astel,Uyu,10.29
Fuma,Uyu,22.78
Gamma,Uyu,19.48
Izuru,Uyu,13.74
Miyabi,Uyu,20.88
Oga,Uyu,12.86
Rikka,Uyu,22.5
Rio,Uyu,26.21
Roberu,Uyu,4.26
Shien,Uyu,21.18
Temma,Uyu,24.27
