from,to,value
Amelia,Amelia,
Baelz,Amelia,16.01
Bijou,Amelia,8.02
Calli,Amelia,12.42
Fauna,Amelia,16.45
FuwaMoco,Amelia,6.77
Gura,Amelia,12.45
Ina,Amelia,15.26
IRyS,Amelia,15.85
Kiara,Amelia,13.98
Kronii,Amelia,20.44
Mumei,Amelia,20.63
Nerissa,Amelia,8.84
Shiori,Amelia,9.7
Amelia,Baelz,42.95
Bijou,Baelz,20.3
Calli,Baelz,32.62
Fauna,Baelz,39.77
FuwaMoco,Baelz,18.66
Gura,Baelz,24.31
Ina,Baelz,34.14
IRyS,Baelz,43.04
Kiara,Baelz,32.06
Kronii,Baelz,48.48
Mumei,Baelz,49.71
Nerissa,Baelz,24.07
Shiori,Baelz,23.93
Amelia,Bijou,55.41
Baelz,Bijou,52.32
Calli,Bijou,45.98
Fauna,Bijou,58
FuwaMoco,Bijou,40.29
Gura,Bijou,37.56
Ina,Bijou,50.31
IRyS,Bijou,52.97
Kiara,Bijou,50.37
Kronii,Bijou,54.21
Mumei,Bijou,59.06
Nerissa,Bijou,51.37
Shiori,Bijou,51.4
Amelia,Calli,37.85
Baelz,Calli,37.07
Bijou,Calli,20.28
Fauna,Calli,32.11
FuwaMoco,Calli,17.9
Gura,Calli,22.82
Ina,Calli,33.24
IRyS,Calli,36.68
Kiara,Calli,33.9
Kronii,Calli,40.73
Mumei,Calli,38.52
Nerissa,Calli,24.71
Shiori,Calli,24.06
Amelia,Fauna,35.2
Baelz,Fauna,31.71
Bijou,Fauna,17.95
Calli,Fauna,22.53
FuwaMoco,Fauna,14.26
Gura,Fauna,20.84
Ina,Fauna,30.62
IRyS,Fauna,30.36
Kiara,Fauna,27.16
Kronii,Fauna,37.88
Mumei,Fauna,36.84
Nerissa,Fauna,20.7
Shiori,Fauna,20.45
Amelia,FuwaMoco,48.72
Baelz,FuwaMoco,50.06
Bijou,FuwaMoco,41.95
Calli,FuwaMoco,42.27
Fauna,FuwaMoco,47.97
Gura,FuwaMoco,33.89
Ina,FuwaMoco,43.86
IRyS,FuwaMoco,51.55
Kiara,FuwaMoco,46.29
Kronii,FuwaMoco,46.79
Mumei,FuwaMoco,55.91
Nerissa,FuwaMoco,42.55
Shiori,FuwaMoco,46.06
Amelia,Gura,50.96
Baelz,Gura,37.09
Bijou,Gura,22.24
Calli,Gura,30.64
Fauna,Gura,39.87
FuwaMoco,Gura,19.27
Ina,Gura,35.66
IRyS,Gura,35.04
Kiara,Gura,31.17
Kronii,Gura,41.63
Mumei,Gura,44.99
Nerissa,Gura,22.72
Shiori,Gura,22.7
Amelia,Ina,30.43
Baelz,Ina,25.38
Bijou,Ina,14.52
Calli,Ina,21.75
Fauna,Ina,28.54
FuwaMoco,Ina,12.15
Gura,Ina,17.38
IRyS,Ina,23.87
Kiara,Ina,22.84
Kronii,Ina,29.6
Mumei,Ina,28.43
Nerissa,Ina,16.01
Shiori,Ina,15.38
Amelia,IRyS,37.16
Baelz,IRyS,37.63
Bijou,IRyS,17.97
Calli,IRyS,28.22
Fauna,IRyS,33.28
FuwaMoco,IRyS,16.8
Gura,IRyS,20.08
Ina,IRyS,28.06
Kiara,IRyS,27.52
Kronii,IRyS,39.04
Mumei,IRyS,40.73
Nerissa,IRyS,21.14
Shiori,IRyS,21.08
Amelia,Kiara,43.96
Baelz,Kiara,37.56
Bijou,Kiara,22.91
Calli,Kiara,34.96
Fauna,Kiara,39.91
FuwaMoco,Kiara,20.22
Gura,Kiara,23.94
Ina,Kiara,36.01
IRyS,Kiara,36.89
Kronii,Kiara,39.99
Mumei,Kiara,40.69
Nerissa,Kiara,27.84
Shiori,Kiara,25.06
Amelia,Kronii,26.6
Baelz,Kronii,23.52
Bijou,Kronii,10.21
Calli,Kronii,17.39
Fauna,Kronii,23.04
FuwaMoco,Kronii,8.46
Gura,Kronii,13.24
Ina,Kronii,19.32
IRyS,Kronii,21.66
Kiara,Kronii,16.55
Mumei,Kronii,26.96
Nerissa,Kronii,13.48
Shiori,Kronii,12.92
Amelia,Mumei,34.1
Baelz,Mumei,30.63
Bijou,Mumei,14.12
Calli,Mumei,20.89
Fauna,Mumei,28.46
FuwaMoco,Mumei,12.84
Gura,Mumei,18.17
Ina,Mumei,23.56
IRyS,Mumei,28.71
Kiara,Mumei,21.4
Kronii,Mumei,34.25
Nerissa,Mumei,16.18
Shiori,Mumei,17.64
Amelia,Nerissa,47.46
Baelz,Nerissa,48.21
Bijou,Nerissa,39.92
Calli,Nerissa,43.54
Fauna,Nerissa,51.97
FuwaMoco,Nerissa,31.76
Gura,Nerissa,29.82
Ina,Nerissa,43.11
IRyS,Nerissa,48.42
Kiara,Nerissa,47.58
Kronii,Nerissa,55.63
Mumei,Nerissa,52.59
Shiori,Nerissa,49.79
Amelia,Shiori,40.21
Baelz,Shiori,36.96
Bijou,Shiori,30.82
Calli,Shiori,32.71
Fauna,Shiori,39.61
FuwaMoco,Shiori,26.53
Gura,Shiori,22.98
Ina,Shiori,31.96
IRyS,Shiori,37.24
Kiara,Shiori,33.04
Kronii,Shiori,41.15
Mumei,Shiori,44.22
Nerissa,Shiori,38.41
