from,to,value
Matsuri,Botan,19.87
Mel,Botan,23.26
Miko,Botan,12.52
Mio,Botan,19.26
Nene,Botan,15.04
Noel,Botan,14.28
Okayu,Botan,14.74
Pekora,Botan,9.18
Polka,Botan,23.37
Raden,Botan,16.42
Ririka,Botan,14.53
Roboco,Botan,24.21
Shion,Botan,17.08
Sora,Botan,17.56
Subaru,Botan,14.36
Suisei,Botan,13.35
Towa,Botan,21.4
Watame,Botan,19.5
Aki,Chloe,10.91
Ao,Chloe,13.04
Aqua,Chloe,16.81
Ayame,Chloe,20.08
AZki,Chloe,15.66
Botan,Chloe,13.24
Choco,Chloe,21.67
Flare,Chloe,19.13
Fubuki,Chloe,12.73
Haato,Chloe,15.67
Hajime,Chloe,21.46
Iroha,Chloe,17.76
Kanade,Chloe,16.96
Kanata,Chloe,18.38
Korone,Chloe,13.07
Koyori,Chloe,15.02
Lamy,Chloe,20.37
Laplus,Chloe,19.16
Lui,Chloe,14.49
Luna,Chloe,14
Marine,Chloe,11.71
Matsuri,Chloe,17.16
Mel,Chloe,20.87
Miko,Chloe,11
Mio,Chloe,16.34
Nene,Chloe,15.03
Noel,Chloe,15.99
Okayu,Chloe,13.27
Pekora,Chloe,8.78
Polka,Chloe,18.19
Raden,Chloe,15.03
Ririka,Chloe,13.76
Roboco,Chloe,20.88
Shion,Chloe,22.08
Sora,Chloe,16
Subaru,Chloe,9.95
Suisei,Chloe,14.22
Towa,Chloe,16.29
Watame,Chloe,14.37
Aki,Choco,15.86
Ao,Choco,18.1
Aqua,Choco,14.73
Ayame,Choco,20.77
AZki,Choco,18.66
Botan,Choco,17.69
Chloe,Choco,19.64
Flare,Choco,23.02
Fubuki,Choco,13.42
Haato,Choco,19.9
Hajime,Choco,20.17
Iroha,Choco,19.12
Kanade,Choco,15.01
Kanata,Choco,16.04
Korone,Choco,14.46
Koyori,Choco,14.26
Lamy,Choco,20.07
Laplus,Choco,18.13
Lui,Choco,17.41
Luna,Choco,17.96
Marine,Choco,11.8
Matsuri,Choco,20.53
Mel,Choco,27.68
Miko,Choco,11.55
Mio,Choco,21.41
Nene,Choco,16.03
Noel,Choco,17.34
Okayu,Choco,15.51
Pekora,Choco,8.71
Polka,Choco,22.05
Raden,Choco,19.87
Ririka,Choco,15.56
Roboco,Choco,29.95
Shion,Choco,20.51
Sora,Choco,20.01
Subaru,Choco,12.26
Suisei,Choco,13.86
Towa,Choco,18.25
Watame,Choco,16.65
Aki,Flare,14.87
Ao,Flare,12.79
Aqua,Flare,13.33
Ayame,Flare,16.64
AZki,Flare,16.76
Botan,Flare,15.78
Chloe,Flare,18.08
Choco,Flare,24.01
Fubuki,Flare,14.68
Haato,Flare,16.23
Hajime,Flare,15.2
Iroha,Flare,13.98
Kanade,Flare,12.82
Kanata,Flare,17.55
Korone,Flare,15.61
Koyori,Flare,13.5
Lamy,Flare,18.61
Laplus,Flare,13.77
Lui,Flare,17.98
Luna,Flare,17.01
Marine,Flare,12.36
Matsuri,Flare,18.55
Mel,Flare,23.55
Miko,Flare,11.54
Mio,Flare,19.43
Nene,Flare,14.24
Noel,Flare,17.9
Okayu,Flare,14.73
Pekora,Flare,8.67
Polka,Flare,23.8
Raden,Flare,15.03
Ririka,Flare,12.47
Roboco,Flare,27.24
Shion,Flare,16.97
Sora,Flare,19.16
Subaru,Flare,11.41
Suisei,Flare,13.38
Towa,Flare,17.62
Watame,Flare,16.28
Aki,Fubuki,25.54
Ao,Fubuki,26.06
Aqua,Fubuki,29.85
Ayame,Fubuki,33.93
AZki,Fubuki,31.09
Botan,Fubuki,30.57
Chloe,Fubuki,34.56
Choco,Fubuki,40.23
Flare,Fubuki,42.2
Haato,Fubuki,33.14
Hajime,Fubuki,28.41
Iroha,Fubuki,31.19
Kanade,Fubuki,25.25
Kanata,Fubuki,32.02
Korone,Fubuki,37.79
Koyori,Fubuki,30.53
Lamy,Fubuki,33.48
Laplus,Fubuki,26.95
Lui,Fubuki,33.63
Luna,Fubuki,29.66
Marine,Fubuki,24.95
Matsuri,Fubuki,34.62
Mel,Fubuki,39.35
Miko,Fubuki,28.24
Mio,Fubuki,42.65
Nene,Fubuki,27.08
Noel,Fubuki,29.49
Okayu,Fubuki,34.58
Pekora,Fubuki,20.21
Polka,Fubuki,41.49
Raden,Fubuki,27.8
Ririka,Fubuki,24.81
Roboco,Fubuki,44.32
Shion,Fubuki,34.14
Sora,Fubuki,31.8
Subaru,Fubuki,25.76
Suisei,Fubuki,28.33
Towa,Fubuki,35.68
Watame,Fubuki,33.05
Aki,Haato,22.54
Ao,Haato,24.88
Aqua,Haato,23.33
Ayame,Haato,24.04
AZki,Haato,25.3
Botan,Haato,21.85
Chloe,Haato,26.9
Choco,Haato,37.7
Flare,Haato,29.48
Fubuki,Haato,20.94
Hajime,Haato,33.84
Iroha,Haato,21.41
Kanade,Haato,27.55
Kanata,Haato,28.73
Korone,Haato,24.79
Koyori,Haato,21.43
Lamy,Haato,26.91
Laplus,Haato,22.25
Lui,Haato,22.6
Luna,Haato,30.05
Marine,Haato,19.48
Matsuri,Haato,32.8
Mel,Haato,40.91
Miko,Haato,19.87
Mio,Haato,27.33
Nene,Haato,26.54
Noel,Haato,23.79
Okayu,Haato,21.57
Pekora,Haato,14.66
Polka,Haato,30.8
Raden,Haato,29.64
Ririka,Haato,24.73
Roboco,Haato,38.74
Shion,Haato,28.78
Sora,Haato,29.02
Subaru,Haato,17.92
Suisei,Haato,18.86
Towa,Haato,26.13
Watame,Haato,25.59
Aki,Hajime,12.11
Ao,Hajime,25.11
Aqua,Hajime,14.2
Ayame,Hajime,16.64
AZki,Hajime,16.15
Botan,Hajime,13.52
Chloe,Hajime,23.3
Choco,Hajime,24.16
Flare,Hajime,17.46
Fubuki,Hajime,11.36
Haato,Hajime,21.4
Iroha,Hajime,16.91
Kanade,Hajime,24.6
Kanata,Hajime,17.21
Korone,Hajime,13.65
Koyori,Hajime,12.98
Lamy,Hajime,15.73
Laplus,Hajime,19.43
Lui,Hajime,14.62
Luna,Hajime,16.22
Marine,Hajime,12.49
Matsuri,Hajime,17.87
Mel,Hajime,23.85
Miko,Hajime,11.91
Mio,Hajime,17.08
Nene,Hajime,15.62
Noel,Hajime,15.27
Okayu,Hajime,13.86
Pekora,Hajime,9.03
Polka,Hajime,19.24
Raden,Hajime,28.51
Ririka,Hajime,19.91
Roboco,Hajime,23.97
Shion,Hajime,19.85
Sora,Hajime,17
Subaru,Hajime,11.08
Suisei,Hajime,12.64
Towa,Hajime,16.6
Watame,Hajime,14.75
Aki,Iroha,20.85
Ao,Iroha,25.24
Aqua,Iroha,25.11
Ayame,Iroha,29.52
AZki,Iroha,30.62
Botan,Iroha,26.66
Chloe,Iroha,36.7
Choco,Iroha,43.6
Flare,Iroha,30.56
Fubuki,Iroha,23.73
Haato,Iroha,25.77
Hajime,Iroha,32.17
Kanade,Iroha,27.59
Kanata,Iroha,27.67
Korone,Iroha,23.21
Koyori,Iroha,26.39
Lamy,Iroha,35.41
Laplus,Iroha,28.42
Lui,Iroha,27.19
Luna,Iroha,23.02
Marine,Iroha,19.41
Matsuri,Iroha,27.07
Mel,Iroha,33.07
Miko,Iroha,20.78
Mio,Iroha,30.43
Nene,Iroha,24.51
Noel,Iroha,26.09
Okayu,Iroha,23.53
Pekora,Iroha,15.63
Polka,Iroha,31
Raden,Iroha,26.85
Ririka,Iroha,25.15
Roboco,Iroha,35.76
Shion,Iroha,29.69
Sora,Iroha,30.02
Subaru,Iroha,20.54
Suisei,Iroha,23.81
Towa,Iroha,28.34
Watame,Iroha,24.79
Aki,Kanade,13.31
Ao,Kanade,22.75
Aqua,Kanade,19.13
Ayame,Kanade,21.03
AZki,Kanade,19.65
Botan,Kanade,14.02
Chloe,Kanade,24.84
Choco,Kanade,24.27
Flare,Kanade,19.87
Fubuki,Kanade,13.62
Haato,Kanade,23.51
Hajime,Kanade,33.19
Iroha,Kanade,19.56
Kanata,Kanade,21.75
Korone,Kanade,15.23
Koyori,Kanade,16.54
Lamy,Kanade,19.79
Laplus,Kanade,19.36
Lui,Kanade,15.82
Luna,Kanade,18.62
Marine,Kanade,14.15
Matsuri,Kanade,19.03
Mel,Kanade,24.12
Miko,Kanade,14.01
Mio,Kanade,19.5
Nene,Kanade,17.8
Noel,Kanade,15.52
Okayu,Kanade,14.8
Pekora,Kanade,10.29
Polka,Kanade,19.84
Raden,Kanade,22.68
Ririka,Kanade,21.44
Roboco,Kanade,23.3
Shion,Kanade,22.35
Sora,Kanade,19.48
Subaru,Kanade,12.72
Suisei,Kanade,17.4
Towa,Kanade,19.87
Watame,Kanade,16.9
Aki,Kanata,20.18
Ao,Kanata,21.99
Aqua,Kanata,25.36
Ayame,Kanata,25.51
AZki,Kanata,27.33
Botan,Kanata,23.37
Chloe,Kanata,33.65
Choco,Kanata,32.41
Flare,Kanata,34.01
Fubuki,Kanata,21.59
Haato,Kanata,30.65
Hajime,Kanata,29.04
Iroha,Kanata,24.52
Kanade,Kanata,27.19
Korone,Kanata,26.29
Koyori,Kanata,24.53
Lamy,Kanata,33.48
Laplus,Kanata,21.83
Lui,Kanata,25.07
Luna,Kanata,33.79
Marine,Kanata,22.15
Matsuri,Kanata,25.7
Mel,Kanata,29.92
Miko,Kanata,21.9
Mio,Kanata,27.84
Nene,Kanata,24.64
Noel,Kanata,26.7
Okayu,Kanata,24.84
Pekora,Kanata,16.99
Polka,Kanata,32.01
Raden,Kanata,25.81
Ririka,Kanata,21.93
Roboco,Kanata,37.29
Shion,Kanata,30.54
Sora,Kanata,26.07
Subaru,Kanata,21.74
Suisei,Kanata,21.35
Towa,Kanata,25.15
Watame,Kanata,24.25
Aki,Korone,22.74
Ao,Korone,20.42
Aqua,Korone,24.33
Ayame,Korone,24.21
AZki,Korone,22.22
Botan,Korone,25.83
Chloe,Korone,25.36
Choco,Korone,30.96
Flare,Korone,32.05
Fubuki,Korone,27
Haato,Korone,28.02
Hajime,Korone,24.41
Iroha,Korone,21.8
Kanade,Korone,20.18
Kanata,Korone,27.87
Koyori,Korone,23.22
Lamy,Korone,29.63
Laplus,Korone,17.78
Lui,Korone,29.57
Luna,Korone,26.84
Marine,Korone,21.45
Matsuri,Korone,27.45
Mel,Korone,31.22
Miko,Korone,24
Mio,Korone,34.14
Nene,Korone,23.55
Noel,Korone,24.52
Okayu,Korone,34.93
Pekora,Korone,17.97
Polka,Korone,31.77
Raden,Korone,21.9
Ririka,Korone,19.37
Roboco,Korone,36.54
Shion,Korone,30.05
Sora,Korone,26.31
Subaru,Korone,24.93
Suisei,Korone,21.42
Towa,Korone,29.44
Watame,Korone,26.84
Aki,Koyori,28.53
Ao,Koyori,29.86
Aqua,Koyori,32.78
Ayame,Koyori,31.77
AZki,Koyori,36.32
Botan,Koyori,32.53
Chloe,Koyori,43.24
Choco,Koyori,45.3
Flare,Koyori,41.14
Fubuki,Koyori,32.37
Haato,Koyori,35.95
Hajime,Koyori,34.43
Iroha,Koyori,36.78
Kanade,Koyori,32.51
Kanata,Koyori,38.58
Korone,Koyori,34.46
Lamy,Koyori,44.64
Laplus,Koyori,29.73
Lui,Koyori,37.86
Luna,Koyori,35.85
Marine,Koyori,27.9
Matsuri,Koyori,35.3
Mel,Koyori,42.3
Miko,Koyori,30.56
Mio,Koyori,40.73
Nene,Koyori,31.97
Noel,Koyori,35.42
Okayu,Koyori,33.63
Pekora,Koyori,25.4
Polka,Koyori,39.74
Raden,Koyori,32.3
Ririka,Koyori,35.92
Roboco,Koyori,45.71
Shion,Koyori,37.8
Sora,Koyori,38.53
Subaru,Koyori,29.15
Suisei,Koyori,27.28
Towa,Koyori,33.74
Watame,Koyori,36.39
Aki,Lamy,10.94
Ao,Lamy,11.31
Aqua,Lamy,14.26
Ayame,Lamy,15.01
AZki,Lamy,14.13
Botan,Lamy,15.17
Chloe,Lamy,18.23
Choco,Lamy,19.83
Flare,Lamy,17.62
Fubuki,Lamy,11.03
Haato,Lamy,14.03
Hajime,Lamy,12.97
Iroha,Lamy,15.34
Kanade,Lamy,12.09
Kanata,Lamy,16.36
Korone,Lamy,13.66
Koyori,Lamy,13.87
Laplus,Lamy,11.4
Lui,Lamy,13.33
Luna,Lamy,15
Marine,Lamy,11.22
Matsuri,Lamy,14.29
Mel,Lamy,17.79
Miko,Lamy,10.93
Mio,Lamy,16
Nene,Lamy,14.99
Noel,Lamy,15.31
Okayu,Lamy,12.66
Pekora,Lamy,8.36
Polka,Lamy,19.06
Raden,Lamy,13.29
Ririka,Lamy,12.76
Roboco,Lamy,19.14
Shion,Lamy,16.98
Sora,Lamy,14.43
Subaru,Lamy,10.81
Suisei,Lamy,10.76
Towa,Lamy,13.51
Watame,Lamy,13.13
Aki,Laplus,5.03
Ao,Laplus,6.74
Aqua,Laplus,6.95
Ayame,Laplus,10.22
AZki,Laplus,6.55
Botan,Laplus,6.27
Chloe,Laplus,10.74
Choco,Laplus,11.22
Flare,Laplus,8.17
Fubuki,Laplus,5.57
Haato,Laplus,7.27
Hajime,Laplus,10.04
Iroha,Laplus,7.72
Kanade,Laplus,7.41
Kanata,Laplus,6.69
Korone,Laplus,5.14
Koyori,Laplus,5.79
Lamy,Laplus,7.14
Lui,Laplus,6.61
Luna,Laplus,6.29
Marine,Laplus,4.99
Matsuri,Laplus,9.36
Mel,Laplus,10.37
Miko,Laplus,4.58
Mio,Laplus,7.35
Nene,Laplus,6.9
Noel,Laplus,6.82
Okayu,Laplus,5.51
Pekora,Laplus,3.92
Polka,Laplus,9.5
Raden,Laplus,7.75
Ririka,Laplus,5.92
Roboco,Laplus,9.54
Shion,Laplus,9.65
Sora,Laplus,6.95
Subaru,Laplus,4
Suisei,Laplus,6.57
Towa,Laplus,8.12
Watame,Laplus,5.85
Aki,Lui,27.26
Ao,Lui,28.7
Aqua,Lui,24.5
Ayame,Lui,25.72
AZki,Lui,28.67
Botan,Lui,30.82
Chloe,Lui,32.65
Choco,Lui,43.29
Flare,Lui,42.87
Fubuki,Lui,27.91
Haato,Lui,29.67
Hajime,Lui,30.35
Iroha,Lui,29.66
Kanade,Lui,24.33
Kanata,Lui,30.85
Korone,Lui,34.33
Koyori,Lui,29.63
Lamy,Lui,33.56
Laplus,Lui,26.57
Luna,Lui,28.82
Marine,Lui,23.24
Matsuri,Lui,30.53
Mel,Lui,36.17
Miko,Lui,26
Mio,Lui,35.04
Nene,Lui,25.69
Noel,Lui,30.71
Okayu,Lui,32.42
Pekora,Lui,18.82
Polka,Lui,37.13
Raden,Lui,30.45
Ririka,Lui,27.06
Roboco,Lui,44.34
Shion,Lui,30.55
Sora,Lui,32.19
Subaru,Lui,26.92
Suisei,Lui,24.44
Towa,Lui,32.01
Watame,Lui,31.2
Aki,Luna,9.94
Ao,Luna,8.33
Aqua,Luna,8.93
Ayame,Luna,10.1
AZki,Luna,9.73
Botan,Luna,10.62
Chloe,Luna,11.01
Choco,Luna,15.6
Flare,Luna,14.16
Fubuki,Luna,8.59
Haato,Luna,13.78
Hajime,Luna,11.76
Iroha,Luna,8.77
Kanade,Luna,10
Kanata,Luna,14.52
Korone,Luna,10.89
Koyori,Luna,9.8
Lamy,Luna,13.19
Laplus,Luna,8.82
Lui,Luna,10.07
Marine,Luna,7.38
Matsuri,Luna,11.66
Mel,Luna,16.7
Miko,Luna,9.11
Mio,Luna,11.16
Nene,Luna,12.21
Noel,Luna,11.38
Okayu,Luna,9.02
Pekora,Luna,6.93
Polka,Luna,14.14
Raden,Luna,8.98
Ririka,Luna,8.92
Roboco,Luna,17.18
Shion,Luna,12.11
Sora,Luna,13.34
Subaru,Luna,8.74
Suisei,Luna,7.04
Towa,Luna,10.79
Watame,Luna,11.4
Aki,Marine,27.7
Ao,Marine,30.15
Aqua,Marine,41.4
Ayame,Marine,33.71
AZki,Marine,32.99
Botan,Marine,29.25
Chloe,Marine,38.39
Choco,Marine,42.69
Flare,Marine,42.87
Fubuki,Marine,30.12
Haato,Marine,37.21
Hajime,Marine,37.73
Iroha,Marine,30.79
Kanade,Marine,31.67
Kanata,Marine,39.65
Korone,Marine,36.24
Koyori,Marine,31.76
Lamy,Marine,41.09
Laplus,Marine,29.18
Lui,Marine,33.8
Luna,Marine,30.76
Matsuri,Marine,34.28
Mel,Marine,36.22
Miko,Marine,31.5
Mio,Marine,37.47
Nene,Marine,30.22
Noel,Marine,42.29
Okayu,Marine,38.79
Pekora,Marine,30.54
Polka,Marine,37.97
Raden,Marine,37.95
Ririka,Marine,29.45
Roboco,Marine,40
Shion,Marine,41.02
Sora,Marine,30.01
Subaru,Marine,28.89
Suisei,Marine,28.18
Towa,Marine,33.14
Watame,Marine,31.34
Aki,Matsuri,20.11
Ao,Matsuri,17.36
Aqua,Matsuri,15.98
Ayame,Matsuri,17.9
AZki,Matsuri,14.33
Botan,Matsuri,17.47
Chloe,Matsuri,18.52
Choco,Matsuri,24.46
Flare,Matsuri,21.19
Fubuki,Matsuri,13.76
Haato,Matsuri,20.63
Hajime,Matsuri,17.77
Iroha,Matsuri,14.15
Kanade,Matsuri,14.03
Kanata,Matsuri,15.15
Korone,Matsuri,15.27
Koyori,Matsuri,13.23
Lamy,Matsuri,17.23
Laplus,Matsuri,18.02
Lui,Matsuri,14.63
Luna,Matsuri,16
Marine,Matsuri,11.29
Mel,Matsuri,30.07
Miko,Matsuri,12.07
Mio,Matsuri,17.61
Nene,Matsuri,18.12
Noel,Matsuri,16.79
Okayu,Matsuri,13.7
Pekora,Matsuri,9.24
Polka,Matsuri,21.27
Raden,Matsuri,15.01
Ririka,Matsuri,15.3
Roboco,Matsuri,29.68
Shion,Matsuri,19.02
Sora,Matsuri,19.18
Subaru,Matsuri,11.38
Suisei,Matsuri,14.18
Towa,Matsuri,21.71
Watame,Matsuri,15.18
Aki,Mel,18.21
Ao,Mel,14.89
Aqua,Mel,12.94
Ayame,Mel,15.08
AZki,Mel,13.97
Botan,Mel,14.95
Chloe,Mel,16.46
Choco,Mel,24.1
Flare,Mel,19.66
Fubuki,Mel,11.43
Haato,Mel,18.8
Hajime,Mel,17.33
Iroha,Mel,12.63
Kanade,Mel,12.99
Kanata,Mel,12.89
Korone,Mel,12.69
Koyori,Mel,11.59
Lamy,Mel,15.68
Laplus,Mel,14.59
Lui,Mel,12.66
Luna,Mel,16.74
Marine,Mel,8.72
Matsuri,Mel,21.97
Miko,Mel,9.38
Mio,Mel,16.57
Nene,Mel,15.54
Noel,Mel,13.74
Okayu,Mel,10.95
Pekora,Mel,7.01
Polka,Mel,16.67
Raden,Mel,13.92
Ririka,Mel,13.97
Roboco,Mel,28.82
Shion,Mel,16.54
Sora,Mel,18.17
Subaru,Mel,9.29
Suisei,Mel,10.33
Towa,Mel,17.34
Watame,Mel,13.24
Aki,Miko,32.79
Ao,Miko,34.75
Aqua,Miko,39.65
Ayame,Miko,34.5
AZki,Miko,36.99
Botan,Miko,37.15
Chloe,Miko,40.07
Choco,Miko,46.45
Flare,Miko,44.5
Fubuki,Miko,37.89
Haato,Miko,42.18
Hajime,Miko,39.98
Iroha,Miko,36.65
Kanade,Miko,34.85
Kanata,Miko,43.59
Korone,Miko,45.07
Koyori,Miko,38.68
Lamy,Miko,44.49
Laplus,Miko,29.76
Lui,Miko,42.05
Luna,Miko,42.21
Marine,Miko,35.01
Matsuri,Miko,40.75
Mel,Miko,43.32
Mio,Miko,42.21
Nene,Miko,37.78
Noel,Miko,39.25
Okayu,Miko,38.66
Pekora,Miko,30.9
Polka,Miko,43.37
Raden,Miko,35.33
Ririka,Miko,33.5
Roboco,Miko,52.28
Shion,Miko,44.86
Sora,Miko,39.5
Subaru,Miko,38.12
Suisei,Miko,35.51
Towa,Miko,40.02
Watame,Miko,42.94
