from,to,value
Uyu,Temma,30.46
Vesper,Temma,1.69
Altare,Uyu,2.22
Aruran,Uyu,12.88
Astel,Uyu,10.84
Axel,Uyu,2.61
Dezmond,Uyu,1.89
Fuma,Uyu,17.44
Gamma,Uyu,14.41
Izuru,Uyu,17.86
Miyabi,Uyu,22.86
Oga,Uyu,13.57
Rikka,Uyu,22.31
Rio,Uyu,16.04
Roberu,Uyu,6.37
Shien,Uyu,19.32
Temma,Uyu,19.81
Vesper,Uyu,1.68
Altare,Vesper,55.82
Aruran,Vesper,19.06
Astel,Vesper,27.14
Axel,Vesper,63
Dezmond,Vesper,53.18
Fuma,Vesper,24.4
Gamma,Vesper,28.58
Izuru,Vesper,13.93
Miyabi,Vesper,25.17
Oga,Vesper,20.19
Rikka,Vesper,25.85
Rio,Vesper,26.31
Roberu,Vesper,13.26
Shien,Vesper,17.95
Temma,Vesper,19.57
Uyu,Vesper,29.91
