,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24
Noel,15.83,13.95,15.67,15.85,17.25,17.07,16.05,17.31,21.97,18.85,19.59,17.55,15.68,19.78,22.3,21.03,21.02,16.5,14.31,14.88,15.77,20.74,19.99,18.59,16.65,19.16,16.15,17.02,20.08,13.84,12.94,13.69,15.5,14.03,14.41,15.44,13.53,11.42,10.71,11.37,14.54,10.83,19.17,11.19,16.76,16.66,15.71,17.5,15.77,16.01,14.66,14.72,14.28
Pekora,22.32,23.21,23.23,19.97,17.19,16.21,18.81,22.2,23.92,22.61,23.41,24.37,23.65,21.84,23.54,26.49,23.8,22.22,20.43,21.67,22.68,21.88,21.86,19.32,20.46,18.64,19.34,23.72,24.6,25.99,25.67,22.32,20.12,19.39,16.97,18.89,20.97,21.81,20.12,20.23,22.37,31.39,23.99,22.85,26.12,27.87,27.81,20.12,19.82,22.29,23.38,22.21,19.97
Flare,7.52,7.39,6.64,6,6.13,5.79,7.1,8.35,9.46,8.03,8.24,8.1,9.31,8.33,8.18,9.4,10.01,8.2,11,8.1,9.78,10.59,9.46,10.66,9.59,11.02,9.6,10.02,13.6,8.1,8.93,10.27,9.74,9.89,9.84,11.3,10.92,8.75,6.8,8.72,6.88,8.4,8.38,8.43,11.22,9.41,8.2,7.56,7.42,8.61,7.25,10.57,8.64
Marine,19.02,15.45,11.81,12.96,11.73,14.25,16.23,17.2,19.36,17.01,17.11,17.99,20.06,16.36,14.8,15.62,19.84,16.9,12.2,12.86,17.11,17.18,18.75,16.46,13.9,18.13,19.75,18.21,22.55,11.1,14.33,16.06,15.87,20.22,15.49,14.5,18.65,19.02,18.74,23.68,17.78,22.39,24.88,18,24.7,19.66,12.58,14.87,19.09,19.97,14.02,16.23,16.08
