,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
Risu,27.13,21.59,23.55,17.14,10.96,17.01,14.85,13.97,12.92,16.65,14.97,15.18,16.12,13.63,13.9,17.04,14.68,23.56,17.74,21.06,20.87,12.42,11.65,10.6,10.59,11,13.59,11.46,17.36,12.35,16.05,15.52,11.13,15.61,16.29,20.31,22.43,20.13,15.68,22.05,19.67,19.89,20.71,21.61,22.65,23.4,24.15,25.25,23.88,28.58,28.52,28.39,24.87,31.23,28.59,28.45
Moona,14.88,14.51,14.43,14.55,12.57,14.99,16.3,27.38,29.58,31.34,35.26,37.08,31.93,35.28,32.88,31.8,32.87,37.61,28.55,34.11,36.81,26,18.1,16.94,20.24,18.5,15.98,14.02,23.43,17.69,19.28,18.03,17.86,19.39,17.89,20.25,19.23,18.09,11.49,17.2,14.47,27.33,28.64,16.21,,22.31,17.46,13,11.26,11.09,14.48,18.98,14.98,17.24,16.92,17.63
Iofi,17.61,19.56,15.73,15.3,13.79,16.62,11.66,15.89,19.69,14.57,13.22,16.65,21.29,17.63,16.73,20.46,19.04,22.45,22.41,21.94,25.77,16.26,9.65,14.38,14.79,13.45,13.57,11.19,15.56,14.66,16.8,17.22,13.88,18.42,16.74,15.42,22.01,15.32,13.15,17.94,17.58,19.42,18.88,16.7,19.08,13.05,17.36,19.84,15.71,17.8,18.97,15.6,17.26,14.69,23.74,15.78
Ollie,,,,,,,13.8,19.93,19.56,25.14,22.06,24.69,26.01,28.49,25.2,24.56,24.15,29.61,26.11,30.72,32.71,27.14,20.63,18.73,23.3,18.15,22.69,18.11,21.96,16.25,20.73,21.72,15.14,19.2,17.78,16.68,20.1,14.7,13.6,16.72,15.69,24.32,20.15,21.68,17.32,16.41,18.69,19.67,17.51,16.22,12.74,14.26,14.43,12.91,22.49,17.99
Anya,,,,,,,9.48,8.97,8.04,7.43,8.01,12.59,8.14,9.08,8.11,9.19,7.29,10.04,9.9,11.24,12.28,7.77,6.48,7.92,7.26,5.71,5.27,5.36,7.5,6.23,8.54,7.6,7.56,7.33,9.05,9.98,11.29,8.53,5.19,10.09,5.99,5.78,8.21,6.77,7.12,7.11,9.46,6.07,5.41,4.62,4.84,7.05,5.15,6.07,6.97,6.21
Reine,,,,,,,10.72,15.46,14.58,12.73,12.71,14.7,14.45,13.62,11.75,14.3,14.05,17.71,16.12,16.8,16.85,11.8,10.27,9.4,10.71,9.93,9.86,8.94,10.33,10.59,12.75,11.6,10.21,13.57,12.39,11.83,13.33,13.35,9.6,15,16.11,13.44,10.63,10.76,12.05,11,10.69,10.29,11.92,8.79,8.39,8.6,10.3,10.45,14.59,14.95
