,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22
Fuma,10.48,12.88,13.85,14.71,14.26,14.13,17.29,17.37
Uyu,7.46,14.71,20.18,13.12,8.32,12.2,7.84,10.97
Gamma,6.09,17.14,14.32,15.33,11.63,11.51,14.2,19.04
Rio,7.12,12.03,11.6,12.05,14.21,13.96,9.4,13.09
