,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
Altare,11.95,12.25,14.63,16.61,14.65,19.17
Dezmond,12.72,11.23,10.71,13.29,15.73,14.45
Axel,8.62,7.51,9.05,11.75,11.65,10.83
Vesper,12.85,14.83,12.62,16.62,10.87,20.22
