,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24
Miko,17.81,11.62,5.25,5.47,15.52,13.98,14.38,15.43,18.36,14.51,15.67,14,13.26,14.48,17.4,17.23,15.96,13.92,10.24,12.23,17.16,17.63,14.13,17.29,16.65,14.72,16.06,16.51,15.05,14.6,15.98,14.82,15.54,15.45,12.9,14.83,15.27,14.34,14.58,13.36,14.53,14,13.8,15.12
Roboco,,11.32,9.04,7.97,9.83,6.65,8.17,11.16,10.48,9.29,8.95,10.9,9.96,9.15,10.09,8.56,9.56,10.39,8.09,6.92,9.53,7.97,9.62,8.84,6.89,9.15,7.49,8.55,11.3,8.66,8.27,10.31,7.66,9.49,7.38,7.35,8.77,6.4,7.66,5.44,8.93,8.09,5.87,6.67
Sora,10.36,9.07,9.73,8.03,7.3,7.09,7.49,11.37,10.73,9.98,10.46,8.43,9.29,8.82,10.28,10.22,10.77,10.68,9.35,11.53,14.63,14.62,12.29,11.03,13.68,14.03,13.23,11.78,14.77,11.09,9.2,12.58,8.67,10.28,8.53,10.51,11.49,8.11,7.1,7.64,10.47,8.17,10.95,9.7
Suisei,19.55,15.75,12.24,10.62,11.57,11.41,15.54,15.4,15.33,14.1,15.46,16.64,18.6,15.03,17.74,18.58,21.58,15.66,15.44,18.69,20.3,21.92,18.65,19.68,20.36,16.76,17.52,18.13,21.98,18.37,18.3,20.74,17.11,22.25,18.92,18.26,17.93,16.36,18.35,14.44,19.32,16.71,21.01,18.37
AZki,11.4,10.39,5.76,3.84,7.52,7.95,9.26,10,11.82,9.67,9.06,9.06,13.01,6.01,8.09,8.05,7.44,10.31,7.11,9.13,9.96,8.9,5.22,4.51,8.98,6.16,11.61,6.97,9.05,7.4,4.65,8.02,10.13,7.51,4.98,10.41,8.63,8.22,6.91,6.97,6.22,7.67,11.21,10.19
