,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
Elizabeth,13.49,15.47,15.98,9.38,11.59,14.67
Gigi,12.13,11.74,12.26,10.88,10.64,15.74
Cecilia,13.8,15.76,17.43,13.72,15.49,17.54
Raora,18.71,24.21,17.31,17.28,18.15,19.44
