,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
HoloID,4.08,5.85,3.95,4.94,3.1,3.61,4.59,4.35,5.99,5.96,4.82,2.92,3.29,5.24,7.28,6.84,8.45,6.46,5.51,7.5,7.09,6.78,7.57,9.62,8.4,5.5,6.77,7.71,7.37,9.36,6.44,7.6,4.68,8.6,4.3,3.63,5.09,9.24,12.13,6.86,11.75,21.02,6.97,3.51,9.81,9.42
HoloEN,,,,2.2,1.38,1.55,1.56,0.99,1.52,1.05,0.9,1.75,2.18,1.62,2.3,2.22,2.74,2.67,2.26,2.03,1.06,1.24,0.88,1.52,3.43,1.57,1.99,1.03,3.54,2.24,2.92,3.82,2.64,1.42,2.29,1.88,2.32,3.28,4,5.12,1.98,3.85,3.31,2.72,2.18,6.5
