,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21
Shion,0.02,0.02,0.03,0.04,0.03,0.03,0.06,0.07,0.09
Aqua,0.01,0.03,0.03,0.03,0.03,0.04,0.07,0.06,0.04
Ayame,0.02,0.05,0.04,0.04,0.03,0.04,0.09,0.14,0.17
Choco,0.06,0.06,0.11,0.05,0.05,0.1,0.12,0.13,0.06
Subaru,0.03,0.02,0.05,0.03,0.03,0.05,0.05,0.04,0.04
