,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21
Miko,0.05,0.09,,0.07,0.27,0.08,0.32,0.12,0.11,0.05,0.06,0.05,0.04,0.05,0.03,0.04
Roboco,,0.11,0.05,0.05,0.05,0.07,0.16,0.13,0.06,0.06,0.06,0.11,0.15,0.07,0.06,0.04
Sora,0.04,0.03,0.05,0.02,0.04,0.04,0.04,0.1,0.06,0.06,0.06,0.02,0.03,0.04,0.07,0.05
Suisei,0.05,0.04,0.04,0.05,0.03,0.06,0.09,0.05,0.05,0.04,0.06,0.05,0.05,0.04,0.03,0.03
