,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24
HoloID,3,2.19,2.01,3.29,2.23,4.51,2.16,2.61,1.75,1.72,2.03,1.5,3.23,2.15,2.03,2.06,1.52,1.95,2.35,1.32,1.46,1.41,1.68,2.48,2.07,1.15,1.23,1.08,4.42,2.58,1.46,2.54,4.03,1.47,1.27,1.99,2.54,1.6,1.75,1.8
HoloEN,3.39,2.59,4.57,3.86,4.13,4.56,3.1,3.4,3.75,2.79,2.82,1.94,2.19,1.38,1.82,2.43,2.15,1.99,1.63,2.98,2.71,2.69,4.12,5.91,2.98,2.81,2.03,2.49,11.69,5.44,3.95,2.09,3.09,2.5,2.48,1.91,4.46,3.97,4.3,2.56
