,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22
Luna,16.77,26.18,26.14,36.92,33.59,33.12,19.98,20.07,25.79,32.51,23.02,18.72,15.07,21.52,16.6,14.76,12.52,14.43,9.49,11.18,11.58,18.01,11.9,7.74,11.45,9.68,9.45
Coco,18.39,22.17,33.43,36.62,,,16.86,21.94,30.4,21.4,39.25,33.9,28.35,33.8
Watame,12.86,16.6,25.43,27.47,29.07,22.22,23.63,20.47,23.01,16.34,14.56,14.9,13.92,11.9,10.53,8.07,8.93,10.65,6.08,5.94,6.18,5.99,5.86,6.96,8.94,6.94,7.34
Kanata,6.29,18.34,16.63,18.12,15.65,23.98,17.56,17.22,25.12,19.03,13.07,9.46,14.65,7.85,6.07,5.26,6.48,4.11,3.04,2.9,3.05,,3.79,2.91,2.85,2.9,3.71
Towa,37.59,45.32,45.48,49.08,50.86,54.7,27.41,44.16,45.27,42.44,38.89,36.32,31.27,34.82,28.89,28.34,22.28,17.58,18.71,22.77,16.61,10.03,20.61,16.87,11.41,14.5,17.3
