,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24
Miko,21.8,23.2,27.58,23.59,41.06,34.83,28.26,17.61,18.12,13.33,14.76,10.85,11.99,12.99,9.58,7.67,9.08,9.02,5.36,4.9,3.99,4.78,5.93,6.98,9.03,8.19,5.62,5.44,6.47,4.89,3.58,4.38,4.34,4.32,4.16,3.54,3.75,3.13,3.61,3.34,4,4.09,3.76,2.91,3.9,3.82,3.15,3.32,3.54,2.98,3.22,3.13
Roboco,,18.48,25.31,30.12,31.22,42.5,25.17,30.55,33.74,32.73,26.93,25.06,25,29.39,25.69,18.04,24.18,21.27,16.77,12.34,15.41,14.38,15.64,10.94,9.97,19.43,14.09,10.99,14.78,9.7,12.24,13.1,12.6,14.84,14.6,13.18,15.98,10.93,11.81,8.25,10.1,15.91,8.86,7.72,9.81,8.85,6.68,6.17,7.84,5.66,5.8,7.41
Sora,3.86,9.21,14.99,18.77,30.49,31.21,39.57,33.02,33.92,23.62,20.12,17.47,17.83,16.1,12.63,11.11,18.28,11.24,14.85,8.56,9.21,9.46,10.13,9.44,9.16,10.08,8.67,11.6,8.48,7.19,6.34,8.96,10.99,9.21,9.45,8.87,6.85,9.69,9.3,7.96,7.9,6.62,7.8,7.35,6.8,7.1,6.94,7.9,5.95,6.02,6.49,6.18
Suisei,25.17,27.13,29.58,29.85,31.53,40.09,31.01,36.75,31.33,21.79,34.63,28.42,27.28,22,17.12,12.34,18.8,15.47,13.82,15.19,11.04,13.69,13.8,12.89,14.07,11.38,8.76,12.48,17.8,12.65,7.93,10.25,5.67,8.25,9.71,10.99,7.32,7.96,7.57,7.58,6.84,7.51,7.62,7.35,11.52,7.21,,6.62,6.51,7.77,5.98,7.32
AZki,5.54,26.16,37.01,14.69,46.32,47.61,39.14,52.25,48.72,69.29,38.52,43.47,33.97,40,25.23,38.23,44.19,28.51,29.15,27.32,25.1,33.13,11.98,13.57,15.83,20.31,21.53,20.07,39.36,16.61,17.78,6.96,9.85,10.04,4.35,5.66,15.03,5.46,4.1,4.89,5.54,6.6,5.86,4.29,3.54,4.83,5,4.24,3.63,4.02,5.45,4.26
