,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23
Shion,5.32,5.26,7.61,6.75,6.25,8.79,10.72,6.82,8.38,8.46,6.51,5.48,2.7,,4.94,3.9,7.04,4.22,3.92,2.77,2.23,3.69,3.76,3,4.27,2.33,5.74,2.71,3,2.94,2.83,1.44,3.67,3.79
Aqua,8.68,13.73,13,9.41,12.9,18.2,17.72,9.7,13,17.65,10.63,11.83,9.66,8.48,7.65,7.7,10.06,9.16,9.64,12.14,11.83,7.49,18.16,7.43,5.61,3.82,5.05,5.96,6.39,4.67,5.29,4.71,10.26,6.66
Ayame,10.56,18.72,19.98,20.11,46.85,27.61,18.73,25.01,25.72,23.35,11.28,11.53,,15.22,16.67,10.94,10.55,29,8.38,9.71,12.3,16.61,4.64,5.61,13.6,,,11.26,16.79,6.02,7.15,7.11,3.94,5.5
Choco,13.83,19.82,32.45,32.64,24.57,43.05,31.65,25.21,31.15,28.72,41.42,27.35,42.3,32.96,26.24,17.99,28.15,15.52,11.27,11.39,10.94,10.35,10.35,10.92,10.54,9.13,11.32,10.72,7.4,6.89,4.87,4.6,8.05,3.68
Subaru,8.54,9.85,7.72,10.97,12.89,12.75,10.69,10.02,11.93,7.13,9.96,10.21,6.19,4.89,5.36,4.07,5.23,4.71,4.38,3.89,3.61,4.43,4.48,3.28,3.23,2.92,4.2,3.5,2.82,2.71,2.37,2.33,3.16,2.48
