,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21
Mel,0.04,0.05,0.09,0.04,0.05,0.07,0.15,0.09,0.04,0.07,0.05,0.07
Haato,0.03,0.04,0.06,0.04,0.14,0.21,0.11,0.14,0.23,0.15,0.11,0.16
Fubuki,0.12,0.13,0.13,0.11,0.22,0.22,0.24,0.47,0.38,0.2,0.18,0.14
Matsuri,0.06,0.04,0.07,0.06,0.07,0.1,0.1,0.11,0.09,0.11,0.1,0.08
Aki,0.09,0.11,0.11,0.04,0.08,0.09,0.17,0.11,0.25,0.1,0.11,0.06
