,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21
Korone,0.05,0.06,0.06,0.21,0.13,0.2,0.21,0.25,0.18,0.09,0.09
Mio,0.03,0.04,,0.04,0.04,0.04,0.07,0.12,0.07,0.07,0.05
Okayu,0.09,0.09,0.1,0.09,0.16,0.31,0.4,0.25,0.26,0.15,0.11
