,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22
Shion,15.61,12.32,9.64,13.92,,13.74,6.98,13.52,6.86,10.86,3.54,4.43
Aqua,38.91,25.25,49.24,29.36,23.71,19.66,22.78,29.66,27.58,33.02,36.29,34.37
Ayame,26.11,15.4,17.85,,36.23,25.46,14.97,23.65,21.25,11.33,11.43,13.11
Choco,12.63,17.03,13.6,18.28,10.2,5.98,11.63,7.83,8.19,4.54,4.86,5.71
Subaru,16.58,24.64,25.86,14.79,13.8,14.05,10.32,11.95,11.4,10.4,9.47,8.55
