,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24
Mel,17.22,11.59,14.27,18.26,28.91,29.57,36.94,30.31,45.79,37.63,24.21,21.83,46.63,24.06,21.62,14.51,21.75,14.65,17.7,17.98,12.46,13.53,13.66,8.71,11.02,19.31,13.03,9.24,15.17,9.22,7.19,11.61,6.7,10.35,6.87,7.31,8.59,6.26,6.25,12.41,7.59,6.37,8.94,8.76
Haato,11.25,26.09,28.8,35.99,62.88,65.13,58.56,41.07,67.06,63.78,56.07,54.67,,43.74,48.22,33.76,32.32,47.56,41.41,42.46,35.43,36.64,21.41,16.67,10.71,14.75,16.76,22.88,27.31,30.58,26.17,23.73,18.74,,,,,,,,,9.52,14.61,17.95
Fubuki,19.69,24.54,31.14,40.87,44.22,29.14,26.66,29.02,36.72,25.27,20.28,16.61,25.6,22.5,11.63,13.32,9.95,7.29,11.13,6.78,14.69,13.06,9.31,6.62,9.05,8.5,6.3,6.87,6.88,5.56,5.1,4.57,5.07,9.78,5.16,5.36,6.06,5.04,4.2,4.83,4.94,5.63,4.27,4.62
Matsuri,17.3,13.44,16.99,19.75,19.07,13.43,22.22,13.47,13.29,15.05,15.55,9.62,13.73,14.31,10.87,10.36,9.19,7.29,6.52,6.1,5.47,5.85,9.06,5.91,12.69,8.41,8.03,8.98,5.37,5.61,6.38,4.53,7.03,6.65,6.56,6.61,6.07,6.07,5.89,5.32,6.4,6.95,8.63,4.89
Aki,10.64,10.71,43.31,54.74,53.69,45.54,48.63,49.68,44.95,36.85,51.46,35.51,31.91,33.42,32.1,28.11,28.79,24.01,26.49,17.99,17.06,19.68,20.19,8.98,15.88,13.1,16,16.02,13.4,11.26,10.07,10.45,11.85,10.51,12.49,12.58,9.44,8.57,7.9,8.69,7.89,7.7,6.63,8.62
