,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
Noel,0.08,0.12,0.09,0.05,0.09,0.13,0.14,0.15,0.11,0.08,0.09,0.07,0.08
Rushia,0.07,0.04,0.06,0.07,0.09,0.08,0.24,0.21,0.14,0.1,0.08,0.06,0.08
Pekora,0.12,0.07,0.05,0.05,0.06,0.1,0.27,0.1,0.07,0.07,0.05,0.05,0.05
Flare,0.05,0.11,0.12,0.06,0.04,0.08,0.17,0.1,0.07,0.05,0.05,0.04,0.05
Marine,0.02,0.06,0.06,0.04,0.06,0.05,0.08,0.09,0.08,0.06,0.05,0.05,0.03
