,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
HoloID,2.87,1.7,1.49,1.74,2.3,5.35,1.6,2.1,1.55,1.47,1.56,1.28,2.69,1.83,1.71,2.41,1.54,1.93,2.42,1.6,1.58,1.42,1.57,2.07,3.53,0.96,1.27,1.28,5.74,3.65,1.67,3.48,6.96,2,1.19,2.68,2.79,1.03,1.22,2.79,2.03,7.4,0.99,2.96,2.13,3.36,2.88
HoloEN,1.82,1.6,2.89,3.2,3.6,5.97,3.26,3.68,3.68,3.07,2.66,1.57,1.72,1.02,1.62,2.57,2.14,2.35,1.36,3.73,3.2,2.74,4.21,6.57,2.37,2.52,1.9,2.9,18.03,7.6,6.19,2.92,4.01,4.05,2.85,2.33,7.63,5.48,6.72,2.45,3.74,4.23,2.86,5.88,2.32,4.2,2.56
