,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
Altare,0.33,0.21,0.12,0.09,0.15,0.07
Dezmond,0.48,0.11,0.19,0.06,0.05,0.05
Axel,4.86,2.53,1.27,0.78,1,0.8
Vesper,0.13,0.11,0.16,1.87,0.52,0.05
