,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24
HoloID,5.18,5.21,4.16,4.51,3.68,3.67,6.13,4.71,5.01,5.41,4.39,3.23,5.08,4.25,7.18,5.68,6.74,4.88,4.51,6.15,5.29,4.9,4.86,6.12,4.91,3.84,4.62,6.04,4.54,5.74,4.69,5.24,3.77,4.85,3.34,3.53,3.76,7.44,7.21,4.75,6.81,9.9,4.78,3.82,6.33,7.05,6.51,6.14,5.26,5.82,8.88
HoloEN,,,,3.93,2.29,1.84,1.8,1.65,1.83,1.92,1.53,2.39,2.29,2.07,2.13,2,2.49,2.9,1.95,2.09,1.36,1.64,1.21,1.59,2.26,1.67,1.65,1.48,2.88,2.23,2.64,3.68,3.54,2.19,2.47,2.09,2.37,3.38,3.7,3.29,1.85,3.02,2.67,2.36,1.96,3.97,4.69,4.29,2.13,2.16,2.53
