,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21
Miyabi,13.77,27.08,34.99,28.85,44.85,40.16,32.04,40.6
Izuru,20.78,41,36.43,38.82,55.96,51.72,39.01,49.37
Aruran,11.98,16.01,27.81,34.36,39.62,60.65,62.01,54.29
Rikka,40.47,42.16,43.54,33.28,59.32,57.84,41.5,42.44
Astel,20.26,44.85,43.04,49.32,61.83,58.97,72.45,59.76
Temma,21.38,30.31,40.86,44.94,41.52,50.48,49.76,40.83
Roberu,4.78,13.1,30.01,42.68,54.43,54.56,48.57,47.38
Shien,16.52,20.3,31.49,28.62,40.04,34.53,42.06,65.18
Oga,19.69,18.15,22.03,23.33,25.38,27.04,31.1,40.18
