,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
Fuma,32.36,20.69,15.39,24.48,32.37,19.18,29.88,9.74,20.98,9.72
Uyu,35.5,12.88,23.17,12,15.48,33.64,15.44,20.23,22.98,22.44
Gamma,20.35,14.19,9.35,9.38,16.83,18.25,11.95,8.48,11.22,5.07
Rio,31.89,21.33,16.86,13.01,29.36,20.73,16.03,16.5,24.09,17.65
