,Nov-24,Dec-24,Jan-25
Riona,14.68,5.27,3.53
Vivi,18.14,6.54,5.85
Su,16.35,4.08,2.77
Chihaya,22.5,6.75,9.03
Niko,33.34,8.03,5.7
