,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24
Luna,30.19,20.09,17.11,13.17,17.76,12.02,11.5,9.55,9.84,6.36,9.83,8.93,16.23,8.26,7.39,8.05,7.78,7.21,5.22,6.55,5.38,4.84,7.51,6.64,9.82,9.61,6.19,5,7.83,9.7,6.87,6.87,8.28,5.9,8.56,7.49,8.02,6.4,6.3,6.69
Watame,12.29,13.05,16.08,14.05,11.03,9.83,8.6,9,11.22,6.22,6.23,6.32,5.88,5.36,6.88,9.17,6.02,6.85,7.09,8.68,6.27,5.3,5.44,5.93,5.32,5.57,3.56,5.34,4.76,4.28,5.26,5.05,4.98,5.04,7.48,6.18,4.36,4.5,4.6,6.32
Kanata,26.52,16.32,17.08,21.85,15.63,10.42,8.62,13.06,8.46,5.52,5.16,4.74,,7.92,5.95,5.21,8.59,7.31,3.76,4.47,5.8,8.96,7.92,11.7,12.27,11.34,10.57,19.75,17.41,11.17,10.82,8.79,8.47,9.24,5.86,9.29,5.46,5.87,8.68,10.31
Towa,29.2,32.29,37.16,28.43,30.11,24.9,26.57,13.71,14.72,17.95,25.82,13.65,9.77,17.88,16.55,11.17,13.68,17.13,9.96,9.74,10.06,11.2,22.9,12.07,9.66,8.26,9.57,6.45,9.21,7.79,7.83,9.87,4.86,6.23,6.46,5.73,6.63,4.71,7.6,8.56
