,Nov-24,Dec-24,Jan-25,Feb-25
Riona,8.13,6.18,4.94,5.83
Vivi,7.15,5.36,6.15,11.64
Su,5.22,3.57,2.82,3.54
Chihaya,5.47,4.05,4.69,5.32
Niko,9.59,7.5,6.55,7.9
