,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Astel,20.26,44.85,43.04,49.32,61.83,58.97,72.45,59.82,62.59,62.4,61.81,60.25,55.98,52.37,57.29,56.72,47.61,44.78,44.22,35.81,37.34,37.44,45.97,24.03,33.89
Temma,21.38,30.31,40.86,44.94,41.52,50.48,49.76,43.81,42.77,38.95,59.72,65.81,76.12,58.48,27.95,34.12,24.12,46.93,28.08,21.68,23.85,23.5,29.59,23.48,16.29
Roberu,4.78,13.1,30.01,42.68,54.43,54.56,48.57,45.76,43.66,38.76,32.11,21.75,32.06,17.95,22.09,16.53,12.09,17.26,10.22,10.53,8.68,7.71,6.57,4.74,15.35
Shien,16.52,20.3,31.49,28.62,40.04,34.53,42.06,63.74,46.36,25.36,24.14,19.48,29.89,37.13,28.34,34.77,28.88,18.48,16.11,15.77,12.79,12.72,14.68,9.2,11.24
Oga,19.69,18.15,22.03,23.33,25.38,27.04,31.1,39.74,36.54,28.46,21.97,18.78,17.81,24.77,15.98,16.11,13.98,9.12,13.82,26.48,14.53,8.02,7.04,8.05,5.85
