,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21
Risu,0.09,0.1,0.08,0.06,0.04,0.12,0.08,0.16,0.06,0.07,0.09,0.04,0.05,0.04,0.1,0.04
Moona,0.01,0.02,0.04,0.01,0.02,0.03,0.12,1.08,0.61,0.09,0.08,0.09,0.06,0.11,1.34,0.35
Iofi,0.03,0.02,0.03,0.02,0.02,0.05,0.08,0.04,0.04,0.03,0.01,0.03,0.02,0.01,0.03,0.03
Ollie,,,,,,,0.27,0.26,0.17,0.11,0.07,0.05,0.09,0.07,0.06,0.06
Anya,,,,,,,0.14,0.08,0.06,0.08,0.03,0.04,0.05,0.03,0.02,0.03
Reine,,,,,,,0.08,0.08,0.07,0.11,0.02,0.02,0.04,0.03,0.02,0.01
