,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
Shiori,19.13,1.52,1,0.22,0.53,0.65,0.4,0.34,0.71,0.19,2.16,0.45,0.94,0.99,0.97,0.25,0.18,0.4,0.32
Bijou,34.09,1.82,0.91,1.71,0.68,0.59,0.67,0.52,1.46,0.72,1.19,0.96,1.39,1.58,0.95,0.51,0.81,0.96,1.31
Nerissa,22.99,3.05,1.57,0.65,0.4,0.5,0.34,0.34,2.35,0.5,1.06,6.42,0.96,2.13,0.37,0.24,0.28,0.35,0.8
FuwaMoco,62.96,29.5,20.98,7.85,7.76,14.72,9.11,7.16,17.77,16.86,25.88,6.55,14.99,15.8,11.7,24.71,7.62,7.09,8.53
