streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Sakuna,37.21,669.23,0.16,0.43,41.06
Dooby,249.85,0.6,0.07,0.02,60.75
Rica,4.35,32.05,0.01,0.02,11.61
