streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Suisei,37.01,326.00,0.08,0.13,135.77
Marine,17.51,370.37,0.08,0.08,69.72
Miko,14.98,329.43,0.05,0.06,107.85
Pekora,12.87,353.66,0.04,0.07,55.61
Kanata,7.83,278.92,0.05,0.05,69.18
Aqua,14.46,295.01,0.04,0.07,39.05
Shion,4.35,302.41,0.03,0.04,31.14
Subaru,7.00,295.31,0.01,0.04,35.43
Haato,53.29,172.55,0.09,0.29,82.56
Lamy,6.75,258.75,0.05,0.15,31.27
Amelia,142.95,2.42,0.08,0.05,143.49
Chloe,7.23,200.14,0.06,0.07,75.04
Towa,22.79,157.87,0.07,0.04,66.74
Korone,16.55,211.36,0.01,0.03,18.23
Ina,139.33,1.87,0.08,0.02,100.04
Koyori,6.91,165.55,0.03,0.03,65.97
Nene,10.59,155.00,0.02,0.06,60.65
AZki,13.67,184.25,0.07,0.05,27.34
Mio,4.80,140.16,0.02,0.04,79.73
Iroha,13.72,144.60,0.03,0.03,62.72
Okayu,4.32,174.55,0.02,0.04,42.01
IRyS,116.22,11.96,0.02,0.01,78.72
Choco,8.40,176.63,0.05,0.07,9.65
Polka,6.86,148.03,0.02,0.03,37.20
Fubuki,5.24,110.99,0.02,0.06,62.78
Watame,5.36,110.08,0.03,0.05,60.94
Kobo,127.59,0.62,0.04,0.03,46.27
Noel,6.15,139.68,0.05,0.04,27.59
Botan,13.17,107.67,0.02,0.30,51.96
Mumei,121.49,1.65,0.04,0.02,45.87
Fauna,107.02,0.29,0.01,0.00,61.40
Kronii,100.27,0.75,0.19,0.02,50.63
Sora,9.81,100.82,0.07,0.04,40.79
Ayame,7.65,100.73,0.02,0.04,38.19
Kiara,83.01,8.75,0.09,0.03,41.95
Calli,100.33,7.69,0.02,0.04,24.77
Baelz,89.74,1.67,0.18,0.01,37.97
Luna,7.43,90.02,0.04,0.04,22.59
Lui,5.38,86.98,0.06,0.04,21.61
Flare,2.24,67.95,0.01,0.01,42.48
Matsuri,4.30,93.48,0.08,0.06,12.36
Zeta,55.86,2.94,0.03,0.01,20.95
Mel,7.12,54.96,0.08,0.03,12.68
Risu,56.39,0.72,0.01,0.01,14.98
Roboco,6.84,46.14,0.08,0.03,12.11
Kaela,48.66,0.13,0.02,0.01,12.53
Reine,38.32,3.13,0.00,0.00,14.72
Ollie,41.17,0.51,0.04,0.01,6.95
Iofi,33.44,2.16,0.01,0.01,10.22
Aki,3.26,28.88,0.08,0.03,12.34
Moona,31.56,0.37,0.00,0.03,8.03
Anya,14.22,4.54,0.00,0.01,3.63
