streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Laplus,18.55,344.48,0.03,0.06,50.9
Miko,11.52,285.11,0.03,0.01,94.75
Marine,10.7,309.52,0.12,0.22,60.15
Subaru,8.64,281.04,0.01,0.02,36.8
Lamy,8.2,254.68,0.04,0.12,59.34
Kanata,9.25,217.73,0.02,0.02,56.27
Pekora,16.76,230.47,0.04,0.05,33.61
Korone,13.91,233.91,0.01,0.08,19.32
Suisei,21.96,169.97,0.1,0.08,56.32
FuwaMoco,125.27,7.16,0.01,0.02,115.1
AZki,5.99,167.38,0.02,0.13,71.24
Aqua,15.92,191.71,0.03,0.06,35.19
Gura,153.28,2.43,0.08,0.32,77.72
Watame,6.06,142.83,0.07,0.06,83.5
Fubuki,10.67,147.98,0.02,0.06,71.06
Ayame,6.03,166.89,0.09,0.04,44.52
Chloe,7.66,152.38,0.08,0.13,50.24
Fauna,124.07,0.31,0.01,0.01,75.49
Koyori,3.92,149.31,0.25,0.06,43.44
Iroha,6.01,129.96,0.05,0.14,60.21
Mumei,119.27,0.89,0.03,0.02,74.8
Nene,5.24,119.1,0.1,0.1,52.81
Mio,3,117.48,0.01,0.02,53.4
Matsuri,4.62,128.57,0.04,0.04,37.18
Sora,8.45,116.77,0.06,0.01,34.25
Hajime,5.89,113.67,0.03,0.03,36.58
Noel,3.36,121.72,0.01,0.1,26.61
Kanade,9.32,67.43,3.16,0.05,70.4
IRyS,88.38,4.8,0.01,0,53.35
Okayu,2.75,114.19,0.01,0.03,28.08
Ao,7.87,109.08,0.99,0.05,21.57
Bijou,102.62,0.52,0.01,0.01,35.69
Baelz,86.12,5.83,0.08,0.01,44.92
Ririka,16.93,101.02,0.79,0.03,13.6
Botan,5.12,93.95,0,0.12,31.28
Kobo,85.04,1.79,0.02,0.02,43.39
Ina,67.17,0.98,0.03,0,55.65
Nerissa,90.91,0.34,0.01,0.01,29.5
Raden,4.59,85.22,0.02,0.03,29.06
Polka,3.45,95.45,0.01,0.09,11.05
Luna,7.42,79.15,0.02,0.05,21.42
Shiori,62.06,0.34,0.01,0.01,44.88
Towa,5.67,66.86,0.04,0.02,30.44
Amelia,56.07,0.14,0.01,0.01,43.06
Kiara,64.03,0.57,0.04,0.02,32.78
Choco,7.64,67.95,0.02,0.04,16.57
Kronii,57.93,0.23,0.06,0.01,30.08
Lui,2.65,72.66,0.06,0.05,11.98
Roboco,6.43,60.5,0.12,0.03,16.77
Haato,15.45,43.46,0.01,0.02,21.88
Calli,57.28,2.12,0.01,0.02,19.29
Zeta,52.73,2.01,0.01,0,22.25
Flare,1.58,42.33,0.01,0,24.67
Kaela,45,0.1,0.01,0,15.14
Aki,2.95,38.55,0,0,11.4
Risu,33.64,0.3,0,0,11.93
Ollie,28.85,0.51,0.01,0,7.12
Anya,20.03,8.21,0.02,0,5.68
Reine,22.13,0.4,0,0,11.03
Iofi,20.39,2.59,0.01,0,5.82
