streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Suisei,31.45,351.99,0.07,0.11,131.34
Marine,14.39,391.35,0.14,0.20,69.87
Kronii,265.82,2.08,0.39,0.05,183.83
Miko,13.83,308.69,0.04,0.06,129.34
Gura,293.37,8.42,0.07,0.69,107.76
Pekora,19.81,314.49,0.04,0.07,64.04
Subaru,7.69,304.50,0.01,0.04,35.36
Aqua,21.73,305.60,0.03,0.07,17.33
Kanata,12.20,250.28,0.02,0.05,41.64
Lamy,10.12,236.32,0.03,0.09,54.08
Ina,149.61,2.64,0.09,0.03,118.33
Ayame,9.96,175.92,0.21,0.06,62.34
AZki,17.85,161.01,0.02,0.10,62.10
Koyori,9.22,160.63,0.03,0.04,69.52
Chloe,5.30,167.65,0.04,0.06,54.72
Nene,9.65,146.68,0.03,0.05,63.23
Shion,6.73,172.11,0.02,0.03,30.13
Fauna,120.49,0.39,0.01,0.01,85.91
Mio,3.94,121.60,0.01,0.02,75.85
Korone,14.51,170.97,0.01,0.04,15.00
Fubuki,12.40,115.09,0.02,0.06,67.14
Amelia,93.42,1.52,0.04,0.03,99.13
Botan,9.98,120.01,0.02,0.23,58.27
Kobo,133.10,0.56,0.04,0.02,52.36
Iroha,5.46,128.96,0.02,0.03,47.69
Okayu,3.89,143.40,0.01,0.03,34.27
IRyS,114.11,4.74,0.01,0.00,60.57
Mumei,102.43,1.25,0.02,0.01,72.93
Laplus,8.94,109.76,0.04,0.04,49.84
Watame,5.29,99.44,0.01,0.02,50.92
Noel,4.08,122.39,0.02,0.04,23.53
Baelz,92.80,4.59,0.14,0.01,52.24
Towa,9.60,85.80,0.05,0.01,34.81
Polka,5.41,110.64,0.01,0.02,11.70
Kiara,85.89,1.40,0.09,0.02,39.85
Sora,7.83,78.24,0.07,0.04,37.24
Zeta,90.46,1.71,0.04,0.01,30.39
Mel,8.51,74.77,0.07,0.05,22.85
Calli,81.82,2.69,0.01,0.04,21.08
Lui,3.67,71.59,0.01,0.02,27.49
Luna,9.79,73.93,0.02,0.02,17.31
Choco,3.31,90.33,0.03,0.11,4.33
Roboco,9.60,55.38,0.03,0.02,10.24
Flare,1.30,44.77,0.01,0.01,27.33
Matsuri,3.92,55.66,0.02,0.02,10.55
Kaela,49.20,0.23,0.04,0.01,16.10
Aki,5.11,43.85,0.01,0.02,15.71
Moona,37.63,0.58,0.01,0.03,14.35
Anya,30.03,11.42,0.01,0.00,8.53
Risu,38.87,0.91,0.01,0.00,10.01
Iofi,36.95,1.11,0.01,0.01,9.18
Ollie,37.48,0.85,0.02,0.01,8.30
Reine,27.63,1.29,0.00,0.00,12.95
