streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Sakuna,14.15,279.41,0.04,0.07,184.36
Nimi,192.21,0.55,0.01,0.03,105.37
Rica,4.08,36.01,0.02,0.01,15.49
Dooby,24.25,0.11,0.01,0,14
