streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,15.50,392.66,0.12,0.09,68.08
Miko,13.78,319.76,0.06,0.02,115.06
Suisei,33.68,315.12,0.06,0.12,73.27
Gura,291.36,2.28,0.04,0.24,123.31
Pekora,12.64,326.39,0.14,0.09,45.20
Aqua,18.27,275.26,0.07,0.10,54.20
Lamy,7.27,265.66,0.02,0.06,48.07
Subaru,6.14,276.24,0.01,0.04,30.90
Kanata,11.29,247.65,0.02,0.03,40.05
Ina,137.68,1.82,0.04,0.04,135.64
AZki,9.11,201.67,0.01,0.05,38.90
Korone,16.14,202.89,0.01,0.03,26.97
Koyori,6.38,162.96,0.03,0.03,72.94
Chloe,7.69,180.37,0.03,0.04,47.44
Iroha,7.71,148.46,0.01,0.03,57.20
Fubuki,6.93,129.24,0.03,0.06,76.27
Noel,4.47,168.05,0.04,0.06,39.01
Okayu,4.95,161.10,0.02,0.05,42.99
Mio,4.69,117.93,0.03,0.03,82.84
Fauna,120.45,0.34,0.00,0.01,76.25
IRyS,119.69,8.53,0.01,0.01,62.37
Mumei,116.68,1.35,0.02,0.01,68.96
Kobo,129.64,0.38,0.05,0.02,55.75
Kronii,111.48,0.46,0.09,0.01,68.21
Botan,9.99,119.37,0.01,0.25,49.46
Ayame,14.47,117.56,0.11,0.04,43.97
Shion,4.00,146.85,0.05,0.04,18.08
Baelz,101.35,4.25,0.14,0.01,55.44
Watame,5.52,102.13,0.02,0.02,47.70
Nene,7.28,109.99,0.02,0.03,35.16
Amelia,82.79,1.16,0.03,0.02,67.00
Kiara,95.16,2.93,1.81,0.03,46.54
Polka,4.67,122.99,0.01,0.02,16.26
Mel,8.18,111.60,0.04,0.02,22.57
Sora,9.76,94.28,0.05,0.02,31.33
Laplus,7.75,90.48,0.02,0.02,35.36
Flare,2.63,75.08,0.01,0.01,46.12
Lui,3.93,94.16,0.01,0.02,20.67
Choco,10.96,99.04,0.02,0.03,4.77
Calli,80.88,4.96,0.01,0.03,24.56
Towa,8.23,72.85,0.02,0.01,28.96
Luna,9.57,72.57,0.02,0.02,20.80
Zeta,70.46,2.42,0.03,0.01,22.17
Roboco,8.30,48.98,0.05,0.03,10.04
Kaela,51.24,0.24,0.01,0.01,15.90
Moona,49.33,0.62,0.00,0.02,16.63
Aki,5.45,38.34,0.01,0.01,20.27
Risu,40.16,0.63,0.00,0.01,11.71
Ollie,37.70,0.89,0.01,0.01,7.36
Reine,32.36,0.53,0.00,0.00,12.98
Iofi,32.26,1.78,0.00,0.00,9.78
Matsuri,2.32,33.25,0.01,0.01,4.71
Anya,17.55,2.88,0.00,0.00,3.74
