streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Suisei,28.06,421.68,0.26,0.14,109.82
Miko,13.81,361.97,0.02,0.02,125.55
Marine,17.94,390.29,0.07,0.09,78.67
Chihaya,22.33,388.52,0.06,0.11,53.51
Laplus,21.45,281.25,0.03,0.09,103.89
AZki,9.27,355.98,0.27,0.07,38.51
Subaru,8.32,333.76,0.02,0.02,39.98
Niko,32.99,314.21,0.15,0.2,32.45
Nene,26.34,247.04,0.12,0.18,91.55
Pekora,11.83,285.78,0.03,0.07,46.2
Su,16.21,297.14,0.08,0.07,28.56
Kanata,7.53,280.31,0.34,0.08,52.72
Lamy,9.33,256.18,0.01,0.08,55.65
Mio,5.8,197.55,0.02,0.05,109
Fubuki,8.31,178.23,0.02,0.06,101.32
Korone,15.91,233.77,0.1,0.05,26.9
Vivi,18,235.39,0.06,0.08,11.52
Iroha,6.4,176.19,0.09,0.09,70
Kanade,16.08,131,2.21,0.03,101.35
Okayu,7.81,170.79,0.01,0.02,49.92
Koyori,4.81,160.46,0.01,0.03,56.01
Cecilia,148.29,0.29,0.01,0.02,64.07
Riona,14.59,165.87,0.04,0.05,28.87
Shion,4.82,177.87,0.32,0.11,19.64
Fauna,136.5,0.22,0,0.01,64.24
Polka,6.3,160.16,0.01,0.11,28.31
Noel,5.06,147.65,0.02,0.03,38
Raden,5.01,134.52,0.02,0.05,42.57
Ririka,6.05,148.53,0.29,0.09,16
Chloe,4.74,126.45,0.02,0.05,36.59
Hajime,5.96,120.23,0.02,0.04,39.48
Watame,4.13,106.08,0.02,0.03,50.39
FuwaMoco,81.92,7.62,0,0.01,68.43
Matsuri,8.76,123.62,0.12,0.06,25.03
IRyS,89.97,6.02,0.01,0.01,58.69
Bijou,106.05,0.81,0.04,0.01,46.81
Nerissa,110.22,0.28,0.01,0.01,39.48
Ao,6.19,110.34,0.1,0.03,23.4
Towa,6.91,92.03,0.02,0.02,29.15
Kobo,84.56,0.8,0.02,0.01,39.26
Gigi,92.97,0.08,0.01,0,27.35
Sora,5.14,81.91,0.07,0.11,32.4
Kronii,82.84,0.57,0.05,0,36.13
Botan,4.43,81.36,0,0.06,30.68
Calli,80.65,1.73,0.02,0.02,27.85
Luna,5.94,82.93,0.02,0.03,19.38
Baelz,70.08,3.05,0.07,0.01,33.91
Zeta,65.57,4.52,0.02,0.01,36.9
Elizabeth,67.88,0.32,0,0.01,32.75
Kiara,62.14,0.48,0.95,0.01,35.96
Flare,2.59,59.5,0.03,0.01,35.68
Lui,2.83,75.1,0,0.02,15.83
Raora,51.65,0.44,0.01,0.01,36.12
Shiori,54.73,0.18,0,0,30.49
Ina,43.76,0.31,0.01,0,39.48
Ayame,7.43,48.48,0.01,0.01,24.41
Aki,3.9,50.69,0,0.01,17.57
Roboco,4.64,46.23,0.01,0.01,13.08
Risu,49.89,0.33,0.01,0,11.26
Haato,14.16,25.19,0.01,0.03,18.68
Kaela,44.57,0.14,0.01,0,10.24
Ollie,32.11,0.66,0.01,0,8.26
Choco,2.39,30.92,0.01,0.04,4.39
Moona,26.76,0.18,0,0,9.25
Iofi,21.63,5.85,0.01,0.01,5.42
Reine,21.17,0.31,0.01,0.01,9.86
Anya,19.9,2.49,0,0,7.13
