streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,18.23,345.63,0.07,0.08,43.00
Shion,16.79,277.86,0.05,0.09,64.66
Marine,16.41,262.15,0.11,0.11,56.50
Gura,202.58,4.25,0.18,1.03,74.77
Subaru,10.81,247.42,0.02,0.03,22.79
Pekora,14.71,225.46,0.02,0.04,34.01
Lamy,7.94,193.81,0.03,0.05,45.41
Laplus,10.39,162.89,0.06,0.03,72.34
Kobo,198.51,0.88,0.10,0.05,42.46
Kanata,7.24,190.06,0.03,0.05,43.39
Miko,10.02,169.88,0.03,0.06,53.40
Suisei,15.10,157.84,0.03,0.02,51.01
Mio,8.60,155.92,0.03,0.05,53.78
Haato,25.53,127.19,0.03,0.05,55.03
AZki,14.12,51.68,0.04,0.02,126.49
Kronii,123.53,0.68,0.37,0.02,62.86
Fauna,137.46,0.38,0.01,0.01,48.99
Korone,10.00,158.61,0.07,0.04,13.04
Koyori,6.82,135.11,0.02,0.02,38.87
Chloe,7.91,122.46,0.05,0.04,40.91
Ina,94.28,0.71,0.06,0.02,68.45
Botan,10.54,93.82,0.02,0.30,50.83
Nene,11.85,109.05,0.04,0.04,34.11
Baelz,111.69,2.13,0.54,0.01,39.97
Noel,6.33,127.00,0.04,0.04,20.34
Okayu,2.75,127.82,0.01,0.03,22.12
IRyS,103.09,7.77,0.05,0.02,41.69
Flare,5.27,103.56,0.01,0.02,42.67
Amelia,81.81,0.38,0.07,0.05,62.87
Mumei,94.41,0.66,0.05,0.01,49.94
Fubuki,6.02,90.85,0.02,0.08,47.84
Polka,9.37,115.58,0.02,0.03,18.41
Watame,6.82,86.43,0.01,0.02,47.84
Towa,15.15,81.87,1.94,0.03,41.25
Calli,113.59,1.21,0.03,0.07,24.13
Kiara,86.65,1.69,2.17,0.04,35.17
Iroha,4.05,83.54,0.02,0.02,28.07
Kaela,93.13,0.27,0.04,0.01,13.40
Sora,7.33,78.07,0.06,0.03,18.59
Lui,7.85,72.53,0.08,0.04,17.91
Matsuri,6.30,73.21,0.05,0.04,11.57
Luna,7.16,69.08,0.02,0.02,13.15
Zeta,67.36,4.28,0.10,0.01,15.94
Roboco,10.54,64.63,0.02,0.04,7.76
Aki,10.32,54.35,0.01,0.02,17.04
Mel,8.85,59.30,0.02,0.01,10.46
Choco,8.20,64.74,0.02,0.04,2.14
Moona,60.58,1.38,0.01,0.04,12.67
Reine,46.40,0.77,0.01,0.01,15.41
Risu,49.38,0.62,0.02,0.01,5.98
Iofi,41.01,2.93,0.01,0.00,10.19
Ollie,46.04,0.72,0.06,0.01,5.93
Anya,20.83,5.74,0.00,0.00,2.16
