streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
AZki,36.79,271.34,0.09,0.05,53.67
Marine,15.24,232.75,0.25,0.12,46.62
Kanata,7.78,201.32,0.06,0.09,70.77
Aqua,45.05,203.53,0.07,0.05,18.43
Kobo,229.59,1.13,0.70,0.06,19.22
Pekora,14.84,201.33,0.07,0.04,26.41
Gura,178.55,2.12,0.46,0.56,58.07
Subaru,9.38,201.59,0.04,0.04,20.76
Miko,10.44,167.20,0.05,0.06,50.52
Laplus,10.16,165.72,0.09,0.04,49.99
Mio,7.01,143.99,0.02,0.04,67.76
Ayame,2.31,47.38,0.00,0.00,159.81
Lamy,7.28,164.86,0.01,0.03,32.10
Shion,6.20,161.85,0.09,0.03,32.32
Suisei,20.81,130.31,0.02,0.03,37.81
Korone,15.74,142.51,0.02,0.03,12.59
Mumei,120.35,0.73,0.40,0.03,45.56
Okayu,5.69,131.88,0.02,0.04,27.08
Haato,23.54,86.81,0.05,0.07,53.23
Koyori,8.00,116.99,0.02,0.03,37.01
Calli,130.10,2.77,0.10,0.11,28.88
Kronii,117.66,0.43,1.09,0.01,42.38
Kiara,110.92,2.50,4.53,0.05,41.44
Ina,97.66,1.02,0.35,0.02,54.84
Fauna,111.35,0.40,0.04,0.01,39.41
Amelia,95.58,0.36,0.12,0.02,54.41
Chloe,7.12,117.97,0.04,0.05,24.40
Watame,5.30,86.10,0.03,0.03,53.67
Noel,8.84,122.26,0.05,0.04,12.48
IRyS,99.36,2.68,0.03,0.01,40.46
Nene,9.72,88.85,0.05,0.03,42.23
Botan,11.25,97.70,0.02,0.23,29.79
Towa,17.77,68.86,0.08,0.02,32.05
Iroha,4.17,90.99,0.01,0.02,21.71
Zeta,103.55,3.48,1.08,0.03,3.80
Baelz,76.30,1.87,7.11,0.01,24.58
Sora,8.77,78.53,0.07,0.01,17.33
Flare,4.95,65.43,0.01,0.01,33.38
Polka,5.30,85.10,0.02,0.02,9.49
Luna,8.19,61.15,0.03,0.04,17.15
Lui,9.42,55.84,0.02,0.02,18.62
Fubuki,5.25,51.81,0.02,0.05,26.36
Ollie,67.10,2.74,0.37,0.02,10.01
Moona,63.07,0.68,0.03,0.03,13.03
Sana,62.18,0.27,0.07,0.01,13.36
Kaela,71.14,0.21,0.07,0.02,2.95
Reine,58.46,0.86,0.01,0.01,11.42
Matsuri,5.15,52.37,0.03,0.04,11.83
Iofi,53.49,4.65,0.03,0.01,9.76
Risu,48.98,0.66,0.02,0.01,8.35
Roboco,7.72,41.97,0.03,0.03,7.00
Mel,6.20,39.41,0.03,0.01,8.92
Aki,8.28,32.84,0.01,0.01,7.75
Astel,17.65,20.75,0.01,0.00,1.66
Rikka,5.50,18.55,0.00,0.01,12.04
Roberu,2.13,30.42,0.00,0.00,1.15
Gamma,4.54,27.50,0.00,0.00,0.76
Shien,3.27,19.11,0.01,0.01,9.09
Choco,3.04,26.58,0.01,0.02,0.84
Miyabi,2.52,16.77,0.00,0.01,6.02
Anya,15.55,4.92,0.01,0.00,1.97
Oga,0.94,12.52,0.00,0.00,8.67
Fuma,4.11,15.77,0.00,0.00,0.32
Izuru,2.47,10.52,0.01,0.02,4.05
Uyu,2.13,14.48,0.00,0.01,0.24
Temma,3.38,8.04,0.00,0.00,3.87
Aruran,1.28,10.01,0.00,0.00,2.20
Rio,1.90,7.04,0.00,0.00,0.70
