streamer,misc_rate,jp_rate,kr_rate,ru_rate,emo_rate
Coco,106.39,208.95,0.17,0.11,635.23
Shion,78.08,259.45,0.00,0.82,262.74
Marine,44.79,341.96,0.33,0.10,83.94
Haato,120.28,155.24,0.25,0.18,106.59
Suisei,50.93,181.10,0.05,0.10,150.17
Pekora,22.27,288.54,0.06,0.07,69.89
Gura,284.77,3.79,1.22,1.19,88.84
Ayame,35.96,201.81,0.13,0.14,106.99
Aqua,23.58,255.71,0.07,0.05,62.14
Subaru,13.72,268.37,0.02,0.06,23.62
Rushia,18.20,232.21,0.22,0.19,53.78
Miko,26.25,176.86,0.07,0.09,72.98
Kanata,15.47,183.46,0.09,0.07,56.90
IRyS,221.58,10.43,0.09,0.15,22.78
Korone,31.44,177.14,0.03,0.07,25.29
Amelia,152.77,1.14,0.18,0.11,77.00
Calli,168.87,1.95,0.21,0.20,46.84
Mio,11.67,133.54,0.02,0.06,72.60
AZki,40.11,60.27,0.03,0.05,99.86
Kiara,154.98,6.09,0.18,0.14,22.75
Lamy,8.96,144.85,0.03,0.04,29.63
Ina,138.76,1.39,0.13,0.13,42.23
Okayu,9.84,142.73,0.04,0.07,25.95
Nene,25.74,104.07,0.07,0.09,44.26
Noel,9.65,143.02,0.06,0.12,10.88
Fubuki,26.19,90.91,0.06,0.15,39.01
Watame,10.93,81.64,0.03,0.07,49.05
Botan,18.26,93.65,0.03,1.25,24.62
Polka,15.09,94.61,0.04,0.06,20.05
Flare,12.34,70.90,0.01,0.03,36.62
Luna,17.32,64.02,0.09,0.04,31.09
Matsuri,12.97,78.33,0.05,0.06,19.91
Ollie,97.69,1.17,1.32,0.07,9.72
Towa,29.76,56.36,0.32,0.03,22.23
Sora,12.96,67.95,0.04,0.04,14.79
Iofi,75.16,5.77,0.02,0.00,9.92
Aki,25.53,50.92,0.01,0.02,12.33
Reine,73.28,0.49,0.00,0.02,7.71
Shien,23.20,39.36,0.02,0.03,16.85
Moona,53.81,0.99,0.01,0.06,9.09
Roberu,10.83,49.64,0.00,0.02,2.05
Mel,12.77,40.40,0.01,0.02,4.98
Roboco,13.22,31.87,0.01,0.03,7.31
Risu,46.02,0.46,0.00,0.02,5.30
Oga,8.83,26.92,0.01,0.02,14.24
Astel,17.05,15.52,0.01,0.01,2.71
Anya,28.18,4.50,0.06,0.01,2.37
Miyabi,9.51,21.67,0.00,0.02,3.14
Rikka,9.00,17.41,0.00,0.01,7.59
Choco,10.19,20.75,0.00,0.01,1.19
Aruran,12.20,14.59,0.00,0.01,3.65
Temma,12.43,8.84,0.00,0.01,3.83
Izuru,7.63,11.48,0.01,0.01,1.96
