streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,17.82,365.14,0.15,0.14,73.10
Miko,12.59,344.40,0.04,0.02,84.38
Suisei,32.16,261.82,0.05,0.12,53.60
Shion,4.68,294.92,0.01,0.03,30.82
Pekora,14.36,273.64,0.08,0.06,39.74
Subaru,7.47,285.16,0.01,0.03,31.78
Gura,197.95,2.07,0.04,0.21,90.53
Lamy,6.18,237.73,0.15,0.09,35.83
Kanata,10.53,223.75,0.01,0.03,30.50
Chloe,5.70,181.39,0.05,0.11,71.98
AZki,9.97,167.34,0.04,0.04,64.11
Iroha,6.62,167.72,0.02,0.05,57.38
Koyori,7.19,159.24,0.04,0.03,63.24
Mio,4.64,133.25,0.07,0.05,87.86
Fauna,110.48,0.66,0.01,0.03,73.42
Laplus,10.88,131.59,0.04,0.06,38.57
Korone,14.46,152.76,0.01,0.04,13.17
Mumei,117.14,0.67,0.03,0.01,61.45
Fubuki,6.33,113.84,0.02,0.09,56.98
Botan,13.09,106.02,0.01,0.16,46.19
Towa,9.49,116.02,0.07,0.02,33.21
Kronii,102.76,0.47,0.10,0.02,52.05
IRyS,95.09,6.14,0.01,0.00,53.24
Okayu,3.55,123.45,0.02,0.04,27.15
Polka,5.46,113.66,0.02,0.02,29.22
Nene,11.41,105.17,0.03,0.04,30.47
Watame,3.51,93.03,0.03,0.02,45.41
Sora,8.95,93.33,0.10,0.03,38.82
Ina,65.99,1.33,0.03,0.01,69.53
Baelz,88.00,2.92,0.22,0.01,45.22
Kobo,96.70,0.37,0.03,0.02,38.95
Calli,95.34,4.27,0.01,0.03,27.45
Noel,3.38,101.20,0.01,0.03,15.98
Lui,3.50,94.08,0.16,0.05,14.53
Kiara,70.25,1.29,0.60,0.02,35.13
Luna,6.13,75.50,0.02,0.04,15.71
Flare,2.91,61.92,0.01,0.01,30.02
Amelia,50.86,0.46,0.01,0.01,39.23
Zeta,58.78,4.08,0.03,0.01,20.27
Aki,7.60,53.31,0.05,0.02,22.01
Roboco,8.05,53.37,0.04,0.02,18.04
Matsuri,3.63,52.12,0.03,0.03,21.08
Mel,3.93,50.07,0.01,0.01,21.27
Risu,43.38,0.41,0.00,0.00,7.15
Kaela,38.67,0.15,0.01,0.01,10.01
Reine,29.43,0.61,0.00,0.00,15.85
Iofi,29.21,1.40,0.00,0.01,14.48
Moona,32.59,0.37,0.00,0.03,11.69
Choco,3.11,36.32,0.04,0.03,3.21
Ollie,28.16,1.36,0.02,0.01,7.93
Anya,18.00,2.29,0.00,0.00,3.99
