streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,32.77,309.36,0.09,0.16,169.21
Gura,309.55,3.19,0.82,0.42,131.63
Suisei,33.94,212.08,0.04,0.04,192.15
Laplus,39.01,305.47,0.16,0.18,62.23
Korone,29.37,270.89,0.07,0.12,89.15
Pekora,16.35,291.25,0.09,0.1,64.35
Shion,10.73,266.43,0.07,0.06,81.71
Miko,11.97,214.22,0.08,0.08,98.79
Marine,17.55,256.09,0.11,0.08,23.09
Chloe,32.44,234.4,0.12,0.16,26.01
Iroha,19.32,226.71,0.14,0.09,41.51
Subaru,10.34,227.28,0.03,0.03,40.92
Mio,9.53,147.58,0.04,0.03,119.2
AZki,33.36,81.4,0.04,0.08,158.24
Ayame,11.22,123.86,0.03,0.08,129.8
Rushia,10.01,212.6,0.1,0.16,34.74
Ina,148.16,1.47,0.28,0.11,96.43
Lamy,7.51,188.21,0.02,0.06,41.73
Kanata,5.46,175.88,0.02,0.04,55.71
Koyori,10.23,184.47,0.08,0.08,38.44
Nene,15.43,124.34,0.13,0.08,92.37
Okayu,4.49,167.7,0.03,0.06,42.54
Amelia,123.54,0.5,0.19,0.07,88.41
Kronii,161.69,0.81,2.77,0.04,37.86
Haato,47.58,67.69,0.09,0.17,86.78
IRyS,145.39,6.7,0.04,0.03,43.92
Noel,6.93,145.65,0.06,0.09,39.33
Calli,144.24,2.43,0.12,0.08,44.99
Kiara,125.95,4.16,0.24,0.05,44.6
Watame,6.14,95.99,0.03,0.05,70.81
Fubuki,14.73,119.42,0.08,0.14,30.85
Baelz,119.16,9.88,1.43,0.04,22.28
Lui,17.41,107.56,0.09,0.08,25.07
Mumei,107.41,0.73,0.11,0.04,39.37
Fauna,110.62,0.58,0.04,0.02,31.39
Botan,11.12,100.04,0.02,0.5,30.57
Towa,17.65,77.95,0.28,0.02,29.88
Matsuri,5.71,84.12,0.05,0.09,28.05
Sora,14.83,85.45,0.04,0.03,15.9
Flare,4.93,67.55,0.01,0.02,33.88
Ollie,87.29,1.81,0.69,0.04,14.71
Polka,6.58,73.02,0.03,0.07,20.09
Astel,34.97,44.17,0,0.04,17.39
Mel,11.93,55.94,0.05,0.05,20.1
Moona,59.68,0.97,0.01,0.07,25.91
Luna,6.31,60.61,0.02,0.02,15.8
Aki,14.49,40.35,0.01,0.03,18.95
Reine,58.93,0.29,0.01,0.02,7.97
Risu,58.23,0.36,0.01,0.03,5.65
Roberu,6.16,54.19,0,0.01,3.28
Roboco,8.52,42.53,0.03,0.03,7.07
Sana,48.48,0.27,0.02,0,8.58
Iofi,33.86,3.05,0.01,0.01,6.3
Choco,4.48,35.77,0.03,0.04,1.33
Oga,3.5,21.87,0,0.01,15.37
Rikka,4.7,18.36,0,0,11.65
Shien,3.87,20.21,0,0.01,7.39
Anya,23.44,3.85,0,0.01,2.73
Temma,6.18,15.86,0.01,0.01,4.22
Miyabi,2.73,15.96,0,0,4.76
Aruran,2.97,16.67,0,0,3.19
Izuru,2.64,11.41,0,0.01,1.11
