streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Nimi,322.05,0.69,0.02,0.08,163.16
Sakuna,17.88,439.06,0.07,0.23,21.63
Dooby,101.7,0.28,0.02,0.01,53.65
Rica,2.79,35.21,0.03,0.01,12.51
