streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,15.90,254.91,0.09,0.18,100.95
Gura,212.49,4.35,0.17,0.93,89.07
Marine,13.18,257.74,0.06,0.09,31.98
Laplus,10.85,185.83,0.03,0.07,90.89
Pekora,16.11,222.28,0.02,0.04,31.16
Subaru,8.37,231.61,0.01,0.03,19.56
Miko,10.53,185.29,0.04,0.08,59.39
Lamy,7.90,191.97,0.02,0.04,46.62
Suisei,21.66,152.26,0.02,0.03,70.76
Mio,6.78,114.74,0.02,0.04,71.54
Koyori,5.30,144.22,0.03,0.03,40.53
Kobo,150.76,0.66,0.09,0.02,38.30
Kanata,3.72,160.01,0.00,0.04,25.26
Korone,12.19,160.34,0.02,0.03,14.42
Chloe,6.29,132.75,0.06,0.03,44.43
Shion,3.97,143.27,0.00,0.02,28.71
Ayame,12.97,102.79,0.03,0.05,56.58
AZki,15.17,60.77,0.04,0.05,94.33
Amelia,89.06,0.67,0.05,0.03,70.09
Ina,81.37,0.98,0.06,0.02,76.54
Okayu,2.74,114.85,0.01,0.03,30.87
Botan,10.39,90.89,0.02,0.29,46.10
Mumei,99.33,1.25,0.05,0.02,46.08
Fauna,97.84,0.25,0.01,0.00,46.45
Kiara,97.51,2.16,0.24,0.04,44.43
Kronii,94.21,0.50,0.29,0.01,43.71
Watame,7.04,83.68,0.02,0.04,46.40
Fubuki,6.04,83.36,0.03,0.07,45.88
Polka,8.45,101.13,0.02,0.04,24.90
Nene,11.22,83.89,0.09,0.05,38.60
Iroha,6.63,89.09,0.01,0.02,36.73
Sora,12.08,93.16,0.12,0.03,26.36
IRyS,89.65,3.61,0.00,0.00,38.45
Baelz,91.90,1.36,0.25,0.01,31.52
Calli,87.28,1.16,0.02,0.04,29.14
Towa,9.87,68.30,0.07,0.01,37.67
Noel,3.15,98.04,0.01,0.04,14.50
Flare,2.70,65.72,0.01,0.01,41.58
Haato,16.62,56.34,0.06,0.03,26.35
Risu,73.31,4.41,0.00,0.01,20.65
Lui,3.62,73.97,0.10,0.04,15.30
Zeta,51.17,3.62,0.06,0.01,17.00
Matsuri,4.76,49.03,0.04,0.04,16.15
Iofi,42.80,7.18,0.01,0.01,19.84
Kaela,54.15,0.18,0.01,0.01,13.80
Luna,5.18,54.01,0.01,0.02,8.65
Moona,45.31,1.08,0.01,0.03,17.15
Mel,4.40,43.61,0.01,0.03,9.67
Roboco,5.18,42.23,0.02,0.02,8.39
Ollie,44.45,0.57,0.05,0.01,8.59
Reine,36.05,0.26,0.00,0.00,16.95
Choco,5.14,43.51,0.02,0.06,1.35
Aki,4.77,25.07,0.01,0.01,7.24
Anya,11.00,3.23,0.00,0.00,1.59
